,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459837.6644329,99.0,99.0,g,21.1554213016265,2.0,1.0
1,2459838.6530787,20.6320492959801,0.149667534124586,g,21.0361160765266,2.0,1.0
2,2459839.653831,20.6500858869211,0.132412824585651,g,21.1871465512999,2.0,1.0
3,2459839.7116898,20.6353859895946,0.110369119379917,g,21.3701528352149,2.0,1.0
4,2459839.7790625,20.4056380906879,0.115733254727142,g,21.0888784627507,2.0,1.0
5,2459839.8017361,20.742329935292,0.170912720640194,g,21.0022797557289,2.0,1.0
6,2459840.7340741,20.4888951417473,0.0794175158090332,g,21.5809901854678,2.0,1.0
7,2459840.8497801,20.5011569595247,0.148956063189232,g,20.9103972844374,2.0,1.0
8,2459840.8843171,20.0236601824559,0.119046895853211,g,20.6762507823881,2.0,1.0
9,2459841.6369792,20.4508163414885,0.128969325128644,g,21.0164860624194,2.0,1.0
10,2459841.6726968,20.2538270414404,0.095888773500359,g,21.1412934213707,2.0,1.0
11,2459841.7657523,20.2962025172797,0.0849175627219254,g,21.3155945046596,2.0,1.0
12,2459841.8183681,20.5516953540203,0.133913956937562,g,21.0765165358116,2.0,1.0
13,2459838.6521412,20.6753997802734,0.265590995550156,g,99.0,1.0,0.0
14,2459838.6530787,20.6448001861572,0.261106997728348,g,99.0,2.0,0.0
15,2459839.7116898,20.6410446166992,0.216549247503281,g,99.0,2.0,0.0
16,2459839.7790625,20.3572998046875,0.20618300139904,g,99.0,2.0,0.0
17,2459839.8017361,20.7120990753174,0.295978009700775,g,99.0,2.0,0.0
18,2459840.7331366,20.4502239227295,0.165190681815147,g,99.0,1.0,0.0
19,2459840.8124884,20.3906002044678,0.195988997817039,g,99.0,1.0,0.0
20,2459840.8497801,20.4993000030518,0.265300989151001,g,99.0,2.0,0.0
21,2459840.8843171,20.0905303955078,0.200153768062592,g,99.0,2.0,0.0
22,2459841.6369792,20.513500213623,0.218505993485451,g,99.0,2.0,0.0
23,2459841.6726968,20.2882862091064,0.169537648558617,g,99.0,2.0,0.0
24,2459841.7657523,20.3226528167725,0.159696996212006,g,99.0,2.0,0.0
25,2459838.6521412,20.6753997802734,0.265590995550156,g,99.0,1.0,0.0
26,2459838.6530787,20.6448001861572,0.261106997728348,g,99.0,2.0,0.0
27,2459839.7116898,20.6410446166992,0.216549247503281,g,99.0,2.0,0.0
28,2459839.8017361,20.7120990753174,0.295978009700775,g,99.0,2.0,0.0
29,2459840.7331366,20.4502239227295,0.165190681815147,g,99.0,1.0,0.0
30,2459840.8124884,20.3906002044678,0.195988997817039,g,99.0,1.0,0.0
31,2459840.8497801,20.4993000030518,0.265300989151001,g,99.0,2.0,0.0
32,2459840.8843171,20.0905303955078,0.200153768062592,g,99.0,2.0,0.0
33,2459841.6369792,20.513500213623,0.218505993485451,g,99.0,2.0,0.0
34,2459841.6726968,20.2882862091064,0.169537648558617,g,99.0,2.0,0.0
35,2459841.7657523,20.3226528167725,0.159696996212006,g,99.0,2.0,0.0
36,2459838.6521412,20.6753997802734,0.265590995550156,g,99.0,1.0,0.0
37,2459838.6530787,20.6448001861572,0.261106997728348,g,99.0,2.0,0.0
38,2459839.8017361,20.7120990753174,0.295978009700775,g,99.0,2.0,0.0
39,2459840.7331366,20.4502239227295,0.165190681815147,g,99.0,1.0,0.0
40,2459840.8124884,20.3906002044678,0.195988997817039,g,99.0,1.0,0.0
41,2459840.8497801,20.4993000030518,0.265300989151001,g,99.0,2.0,0.0
42,2459840.8843171,20.0905303955078,0.200153768062592,g,99.0,2.0,0.0
43,2459841.6369792,20.513500213623,0.218505993485451,g,99.0,2.0,0.0
44,2459841.6726968,20.2882862091064,0.169537648558617,g,99.0,2.0,0.0
45,2459841.7657523,20.3226528167725,0.159696996212006,g,99.0,2.0,0.0
46,2459838.6521412,20.6753997802734,0.265590995550156,g,99.0,1.0,0.0
47,2459838.6530787,20.6448001861572,0.261106997728348,g,99.0,2.0,0.0
48,2459839.8017361,20.7120990753174,0.295978009700775,g,99.0,2.0,0.0
49,2459840.7331366,20.4502239227295,0.165190681815147,g,99.0,1.0,0.0
50,2459840.8497801,20.4993000030518,0.265300989151001,g,99.0,2.0,0.0
51,2459840.8843171,20.0905303955078,0.200153768062592,g,99.0,2.0,0.0
52,2459841.6369792,20.513500213623,0.218505993485451,g,99.0,2.0,0.0
53,2459841.6726968,20.2882862091064,0.169537648558617,g,99.0,2.0,0.0
54,2459841.7657523,20.3226528167725,0.159696996212006,g,99.0,2.0,0.0
55,2459838.6521412,20.6753997802734,0.265590995550156,g,99.0,1.0,0.0
56,2459838.6530787,20.6448001861572,0.261106997728348,g,99.0,2.0,0.0
57,2459839.8017361,20.7120990753174,0.295978009700775,g,99.0,2.0,0.0
58,2459840.7331366,20.4502239227295,0.165190681815147,g,99.0,1.0,0.0
59,2459840.8843171,20.0905303955078,0.200153768062592,g,99.0,2.0,0.0
60,2459841.6369792,20.513500213623,0.218505993485451,g,99.0,2.0,0.0
61,2459841.6726968,20.2882862091064,0.169537648558617,g,99.0,2.0,0.0
62,2459841.7657523,20.3226528167725,0.159696996212006,g,99.0,2.0,0.0
63,2459838.6521412,20.6753997802734,0.265590995550156,g,99.0,1.0,0.0
64,2459838.6530787,20.6448001861572,0.261106997728348,g,99.0,2.0,0.0
65,2459839.8017361,20.7120990753174,0.295978009700775,g,99.0,2.0,0.0
66,2459840.7331366,20.4502239227295,0.165190681815147,g,99.0,1.0,0.0
67,2459841.6369792,20.513500213623,0.218505993485451,g,99.0,2.0,0.0
68,2459841.6726968,20.2882862091064,0.169537648558617,g,99.0,2.0,0.0
69,2459841.7657523,20.3226528167725,0.159696996212006,g,99.0,2.0,0.0
70,2459838.6521412,20.6753997802734,0.265590995550156,g,99.0,1.0,0.0
71,2459838.6530787,20.6448001861572,0.261106997728348,g,99.0,2.0,0.0
72,2459839.8017361,20.7120990753174,0.295978009700775,g,99.0,2.0,0.0
73,2459840.7331366,20.4502239227295,0.165190681815147,g,99.0,1.0,0.0
74,2459841.6726968,20.2882862091064,0.169537648558617,g,99.0,2.0,0.0
75,2459841.7657523,20.3226528167725,0.159696996212006,g,99.0,2.0,0.0
76,2459838.6521412,20.6753997802734,0.265590995550156,g,99.0,1.0,0.0
77,2459838.6530787,20.6448001861572,0.261106997728348,g,99.0,2.0,0.0
78,2459839.8017361,20.7120990753174,0.295978009700775,g,99.0,2.0,0.0
79,2459840.7331366,20.4502239227295,0.165190681815147,g,99.0,1.0,0.0
80,2459841.7657523,20.3226528167725,0.159696996212006,g,99.0,2.0,0.0
81,2459838.6521412,20.6753997802734,0.265590995550156,g,99.0,1.0,0.0
82,2459838.6530787,20.6448001861572,0.261106997728348,g,99.0,2.0,0.0
83,2459839.8017361,20.7120990753174,0.295978009700775,g,99.0,2.0,0.0
84,2459840.7331366,20.4502239227295,0.165190681815147,g,99.0,1.0,0.0
85,2459838.6530787,20.6448001861572,0.261106997728348,g,99.0,2.0,0.0
