,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459839.8370718,99.0,99.0,g,20.521887986399,2.0,1.0
1,2459839.8808565,20.9358613833942,0.259728875835198,g,20.7414465829835,2.0,1.0
3,2459839.9559722,99.0,99.0,g,20.8932294223147,2.0,1.0
4,2459839.9656019,99.0,99.0,g,20.7069907827949,2.0,1.0
5,2459840.8147338,99.0,99.0,g,20.5608354442802,2.0,1.0
6,2459840.8684144,20.6294184308246,0.183590307353803,g,20.8116798476586,2.0,1.0
7,2459840.9183449,99.0,99.0,g,20.9578034782039,2.0,1.0
9,2459840.9618866,20.8630356471683,0.193197844627036,g,20.9899157437915,2.0,1.0
10,2459840.9848032,99.0,99.0,g,21.0053959638917,2.0,1.0
11,2459841.8634144,20.9417637513314,0.171938202580125,g,21.1952185845046,2.0,1.0
12,2459841.8986111,99.0,99.0,g,20.9291804081685,2.0,1.0
13,2459841.9319329,21.2804761524492,0.235731164236634,g,21.1913194387585,2.0,1.0
15,2459841.9703125,21.2344833019595,0.244140747437081,g,21.1072684164713,2.0,1.0
16,2459842.7968866,20.7285247997475,0.262199122604024,g,20.5238325036428,2.0,1.0
17,2459842.8496296,99.0,99.0,i,20.4303596469481,2.0,1.0
19,2459842.9306713,99.0,99.0,r,20.6959090958751,2.0,1.0
20,2459842.975081,99.0,99.0,g,20.8488447310623,2.0,1.0
