,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459837.6630208,99.0,99.0,g,21.330115366819,2.0,1.0
1,2459838.6554282,99.0,99.0,g,21.0264302686891,2.0,1.0
2,2459839.6576042,99.0,99.0,g,21.1909857751184,2.0,1.0
3,2459839.7029051,99.0,99.0,g,21.287906565818,2.0,1.0
5,2459839.7613657,99.0,99.0,g,21.4622482458231,2.0,1.0
6,2459839.7785764,99.0,99.0,g,21.439348142376,2.0,1.0
7,2459839.8312153,99.0,99.0,g,21.2295998725775,2.0,1.0
9,2459840.7315625,99.0,99.0,g,21.66759109076,2.0,1.0
10,2459840.7889005,99.0,99.0,g,21.3676048839495,2.0,1.0
11,2459840.8226968,99.0,99.0,g,21.330359868015,2.0,1.0
12,2459840.8483681,99.0,99.0,g,21.2822133388941,2.0,1.0
13,2459840.8833681,99.0,99.0,g,21.2251193513781,2.0,1.0
14,2459841.7076157,99.0,99.0,g,21.5426682470082,2.0,1.0
16,2459841.7643171,99.0,99.0,g,21.4697149535124,2.0,1.0
17,2459841.7900116,99.0,99.0,g,21.4554157407088,2.0,1.0
18,2459841.7975926,99.0,99.0,g,21.5486792815613,2.0,1.0
19,2459841.8462153,99.0,99.0,g,21.1864817115735,2.0,1.0
20,2459842.7918171,99.0,99.0,g,21.567638372835,2.0,1.0
21,2459842.8124537,99.0,99.0,g,21.4283722636106,2.0,1.0
22,2459842.8273148,99.0,99.0,i,20.7708658907389,2.0,1.0
23,2459842.8584722,21.3796414063201,0.267719914651473,r,21.1523255007131,2.0,1.0
24,2459843.6916782,21.3912408448278,0.233903362758625,g,21.3105354699797,2.0,1.0
26,2459843.7610069,99.0,99.0,r,21.2067823620417,2.0,1.0
27,2459843.8112731,21.4987360784548,0.255246716236957,r,21.323221458615,2.0,1.0
28,2459843.8284375,99.0,99.0,g,21.3699076929499,2.0,1.0
