,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459840.865081,20.4998983472058,0.106996797113067,g,21.26835719248,2.0,1.0
1,2459841.803125,20.8983371931405,0.122987418193748,g,21.5155712704732,2.0,1.0
2,2459842.83375,20.2225470995203,0.12676377850657,i,20.8069449487925,2.0,1.0
3,2459846.8166319,20.1780093777397,0.129158757584888,i,20.7420855199258,2.0,1.0
4,2459840.7977315,20.6387996673584,0.219602003693581,g,99.0,1.0,0.0
5,2459840.865081,20.5223999023438,0.179710999131203,g,99.0,2.0,0.0
6,2459840.9006597,20.5839004516602,0.254613995552063,g,99.0,1.0,0.0
7,2459841.803125,20.8934993743896,0.202368006110191,g,99.0,2.0,0.0
8,2459842.83375,20.0918312072754,0.21320453286171,i,99.0,2.0,0.0
9,2459840.7977315,20.6387996673584,0.219602003693581,g,99.0,1.0,0.0
10,2459840.865081,20.5223999023438,0.179710999131203,g,99.0,2.0,0.0
11,2459840.9006597,20.5839004516602,0.254613995552063,g,99.0,1.0,0.0
12,2459842.83375,20.0918312072754,0.21320453286171,i,99.0,2.0,0.0
13,2459840.7977315,20.6387996673584,0.219602003693581,g,99.0,1.0,0.0
14,2459840.865081,20.5223999023438,0.179710999131203,g,99.0,2.0,0.0
15,2459840.9006597,20.5839004516602,0.254613995552063,g,99.0,1.0,0.0
16,2459840.7977315,20.6387996673584,0.219602003693581,g,99.0,1.0,0.0
17,2459840.865081,20.5223999023438,0.179710999131203,g,99.0,2.0,0.0
18,2459840.7977315,20.6387996673584,0.219602003693581,g,99.0,1.0,0.0
