,jd,mag,mag_unc,filter,limmag,programid,forced
15,2459837.6501389,20.1041851043701,0.202527418732643,g,99.0,1.0,0.0
26,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
27,2459840.7193171,20.2366104125977,0.204033687710762,g,99.0,1.0,0.0
28,2459842.7066319,19.7714595794678,0.158430024981499,r,99.0,1.0,0.0
29,2459837.6501389,20.1041851043701,0.202527418732643,g,99.0,1.0,0.0
39,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
40,2459840.7193171,20.2366104125977,0.204033687710762,g,99.0,1.0,0.0
41,2459842.7066319,19.7714595794678,0.158430024981499,r,99.0,1.0,0.0
42,2459837.6501389,20.1041851043701,0.202527418732643,g,99.0,1.0,0.0
51,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
52,2459840.7193171,20.2366104125977,0.204033687710762,g,99.0,1.0,0.0
53,2459842.7066319,19.7714595794678,0.158430024981499,r,99.0,1.0,0.0
54,2459837.6501389,20.1041851043701,0.202527418732643,g,99.0,1.0,0.0
62,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
63,2459840.7193171,20.2366104125977,0.204033687710762,g,99.0,1.0,0.0
64,2459842.7066319,19.7714595794678,0.158430024981499,r,99.0,1.0,0.0
65,2459837.6501389,20.1041851043701,0.202527418732643,g,99.0,1.0,0.0
72,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
73,2459840.7193171,20.2366104125977,0.204033687710762,g,99.0,1.0,0.0
74,2459842.7066319,19.7714595794678,0.158430024981499,r,99.0,1.0,0.0
75,2459837.6501389,20.1041851043701,0.202527418732643,g,99.0,1.0,0.0
81,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
82,2459840.7193171,20.2366104125977,0.204033687710762,g,99.0,1.0,0.0
83,2459842.7066319,19.7714595794678,0.158430024981499,r,99.0,1.0,0.0
84,2459837.6501389,20.1041851043701,0.202527418732643,g,99.0,1.0,0.0
89,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
90,2459840.7193171,20.2366104125977,0.204033687710762,g,99.0,1.0,0.0
91,2459842.7066319,19.7714595794678,0.158430024981499,r,99.0,1.0,0.0
92,2459837.6501389,20.1041851043701,0.202527418732643,g,99.0,1.0,0.0
96,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
97,2459840.7193171,20.2366104125977,0.204033687710762,g,99.0,1.0,0.0
98,2459842.7066319,19.7714595794678,0.158430024981499,r,99.0,1.0,0.0
99,2459837.6501389,20.1041851043701,0.202527418732643,g,99.0,1.0,0.0
102,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
103,2459840.7193171,20.2366104125977,0.204033687710762,g,99.0,1.0,0.0
104,2459842.7066319,19.7714595794678,0.158430024981499,r,99.0,1.0,0.0
105,2459837.6501389,20.1041851043701,0.202527418732643,g,99.0,1.0,0.0
107,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
108,2459840.7193171,20.2366104125977,0.204033687710762,g,99.0,1.0,0.0
109,2459842.7066319,19.7714595794678,0.158430024981499,r,99.0,1.0,0.0
110,2459837.6501389,20.1041851043701,0.202527418732643,g,99.0,1.0,0.0
112,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
113,2459842.7066319,19.7714595794678,0.158430024981499,r,99.0,1.0,0.0
114,2459837.6501389,20.1041851043701,0.202527418732643,g,99.0,1.0,0.0
116,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
118,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
119,2459840.6859375,20.0825996398926,0.234215006232262,g,99.0,1.0,0.0
