,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459839.8370718,99.0,99.0,g,20.708757584226,2.0,1.0
1,2459839.8808565,20.8647880232135,0.224376277165858,g,20.829231467393,2.0,1.0
3,2459839.9559722,21.0135820530098,0.262412056874907,g,20.8080083785858,2.0,1.0
4,2459839.9656019,99.0,99.0,g,20.7243339543698,2.0,1.0
5,2459840.8147338,99.0,99.0,g,20.7939048702371,2.0,1.0
6,2459840.8684144,21.1007590949102,0.25338988437455,g,20.9331717006481,2.0,1.0
7,2459840.9183449,99.0,99.0,g,20.9421175379976,2.0,1.0
9,2459840.9848032,21.2972007344374,0.255958595228983,g,21.1186622285881,2.0,1.0
10,2459841.8634144,99.0,99.0,g,21.0848624761521,2.0,1.0
11,2459841.8986111,99.0,99.0,g,20.9705195336202,2.0,1.0
12,2459841.9319329,99.0,99.0,g,21.2155360585538,2.0,1.0
14,2459841.9703125,99.0,99.0,g,21.0962293512797,2.0,1.0
15,2459842.7968866,99.0,99.0,g,20.7583851675894,2.0,1.0
17,2459842.9306713,99.0,99.0,r,20.9271214620779,2.0,1.0
18,2459842.975081,99.0,99.0,g,20.865269058875,2.0,1.0
19,2459843.8782176,99.0,99.0,g,20.9191988654027,2.0,1.0
20,2459843.9154051,20.9795802918494,0.177795123413943,r,21.1966664686502,2.0,1.0
21,2459843.9614468,99.0,99.0,g,21.1105818408328,2.0,1.0
22,2459844.9004745,21.0478142923923,0.215413730051393,r,21.0565166291633,2.0,1.0
23,2459844.9430093,99.0,99.0,g,20.5988464883281,2.0,1.0
24,2459844.9723032,99.0,99.0,g,21.0030844830741,2.0,1.0
25,2459844.9821528,20.8006275857153,0.205626458493829,r,20.8598158854946,2.0,1.0
26,2459846.8584259,99.0,99.0,g,21.0162339020338,2.0,1.0
27,2459846.9114005,20.8608730467809,0.184054239802039,r,21.0403942705296,2.0,1.0
28,2459846.940544,20.7523482599994,0.164570014027788,r,21.0533572836957,2.0,1.0
29,2459847.859456,99.0,99.0,g,21.0333427815302,2.0,1.0
30,2459847.9033796,20.560517272324,0.12063958890932,r,21.1986784398425,2.0,1.0
31,2459847.9411343,20.4254923126393,0.130819106763344,r,20.9757001531538,2.0,1.0
32,2459847.9822338,99.0,99.0,g,20.9892435548345,2.0,1.0
33,2459848.8480093,20.8512009114874,0.165381333161581,r,21.1468704792911,2.0,1.0
34,2459848.8987269,99.0,99.0,g,20.8892123861801,2.0,1.0
