,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459840.872662,99.0,99.0,g,21.2033925158971,2.0,1.0
1,2459841.8055208,99.0,99.0,g,21.2356101400581,2.0,1.0
2,2459842.8534028,99.0,99.0,i,20.3492492671778,2.0,1.0
3,2459843.8543981,99.0,99.0,i,20.8962449902263,2.0,1.0
4,2459844.8452199,99.0,99.0,i,20.790893764283,2.0,1.0
5,2459845.8086574,19.7756953420044,0.0811099242658936,i,20.8448961413686,2.0,1.0
6,2459846.7954514,18.7420727200205,0.0367540423207083,i,20.6706957314435,2.0,1.0
7,2459846.8367477,18.6054320454795,0.0466674644522499,i,20.2747823212326,2.0,1.0
8,2459846.7954514,18.7098064422607,0.0729109868407249,i,99.0,2.0,0.0
9,2459846.8367477,18.6618633270264,0.108651980757713,i,99.0,2.0,0.0
10,2459846.8693519,18.3786468505859,0.0740000978112221,g,99.0,1.0,0.0
11,2459846.9253356,18.4930057525635,0.0673948526382446,r,99.0,1.0,0.0
12,2459848.8460995,18.8982334136963,0.084702305495739,r,99.0,1.0,0.0
13,2459848.9015394,19.1871013641357,0.111957177519798,g,99.0,1.0,0.0
14,2459846.7954514,18.7098064422607,0.0729109868407249,i,99.0,2.0,0.0
15,2459846.8367477,18.6618633270264,0.108651980757713,i,99.0,2.0,0.0
16,2459846.9253356,18.4930057525635,0.0673948526382446,r,99.0,1.0,0.0
17,2459848.8460995,18.8982334136963,0.084702305495739,r,99.0,1.0,0.0
18,2459848.9015394,19.1871013641357,0.111957177519798,g,99.0,1.0,0.0
19,2459846.7954514,18.7098064422607,0.0729109868407249,i,99.0,2.0,0.0
20,2459846.9253356,18.4930057525635,0.0673948526382446,r,99.0,1.0,0.0
21,2459848.8460995,18.8982334136963,0.084702305495739,r,99.0,1.0,0.0
22,2459848.9015394,19.1871013641357,0.111957177519798,g,99.0,1.0,0.0
23,2459846.9253356,18.4930057525635,0.0673948526382446,r,99.0,1.0,0.0
24,2459848.8460995,18.8982334136963,0.084702305495739,r,99.0,1.0,0.0
25,2459848.9015394,19.1871013641357,0.111957177519798,g,99.0,1.0,0.0
26,2459846.9253356,18.4930057525635,0.0673948526382446,r,99.0,1.0,0.0
27,2459848.9015394,19.1871013641357,0.111957177519798,g,99.0,1.0,0.0
28,2459846.9253356,18.4930057525635,0.0673948526382446,r,99.0,1.0,0.0
