,jd,mag,mag_unc,filter,limmag,programid,forced
15,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
16,2459848.7047338,19.4026908874512,0.0891053676605225,r,99.0,1.0,0.0
28,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
40,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
51,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
61,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
70,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
78,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
85,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
91,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
96,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
100,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
103,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
105,2459846.6542014,18.6251888275146,0.063671313226223,r,99.0,1.0,0.0
