,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459850.0181944,19.9839000701904,0.286552995443344,r,99.0,1,0.0
1,2459850.0230556,19.8843002319336,0.302006006240845,r,99.0,1,0.0
2,2459851.026169,19.944299697876,0.33568400144577,r,99.0,1,0.0
3,2459851.0309722,19.2891998291016,0.3576680123806,r,99.0,1,0.0
4,2459852.0210764,19.594425201416,0.189801096916199,r,99.0,1,0.0
5,2459850.0230556,19.8843002319336,0.302006006240845,r,99.0,1,0.0
6,2459851.026169,19.944299697876,0.33568400144577,r,99.0,1,0.0
7,2459851.0309722,19.2891998291016,0.3576680123806,r,99.0,1,0.0
8,2459852.0210764,19.594425201416,0.189801096916199,r,99.0,1,0.0
9,2459850.0230556,19.8843002319336,0.302006006240845,r,99.0,1,0.0
10,2459851.0309722,19.2891998291016,0.3576680123806,r,99.0,1,0.0
11,2459852.0210764,19.594425201416,0.189801096916199,r,99.0,1,0.0
12,2459850.0230556,19.8843002319336,0.302006006240845,r,99.0,1,0.0
13,2459851.0309722,19.2891998291016,0.3576680123806,r,99.0,1,0.0
14,2459850.0230556,19.8843002319336,0.302006006240845,r,99.0,1,0.0
