,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459842.8417014,99.0,99.0,i,20.4517329399838,2.0,1.0
2,2459846.8429167,99.0,99.0,i,20.3122432211382,2.0,1.0
3,2459849.8813773,20.0891744562023,0.169922011421319,i,20.3554361445067,2.0,1.0
4,2459853.9107986,99.0,99.0,i,20.3977329844479,2.0,1.0
5,2459856.8698148,99.0,99.0,i,20.2495103956005,2.0,1.0
6,2459848.8422106,19.0794925689697,0.0684583932161331,r,99.0,1.0,0.0
7,2459848.8678125,20.2448539733887,0.181915089488029,g,99.0,1.0,0.0
8,2459850.7762384,20.0194892883301,0.137027889490128,r,99.0,1.0,0.0
9,2459848.8422106,19.0794925689697,0.0684583932161331,r,99.0,1.0,0.0
10,2459848.8678125,20.2448539733887,0.181915089488029,g,99.0,1.0,0.0
11,2459848.8422106,19.0794925689697,0.0684583932161331,r,99.0,1.0,0.0
