,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459848.8634838,99.0,99.0,g,21.2304434945651,2.0,1.0
1,2459849.6869792,99.0,99.0,r,21.3251637890749,2.0,1.0
2,2459849.7751736,99.0,99.0,g,21.1817857405004,2.0,1.0
3,2459849.8006019,99.0,99.0,r,21.2066413490863,2.0,1.0
4,2459850.6912616,99.0,99.0,i,20.6650912042856,2.0,1.0
5,2459853.7560648,99.0,99.0,r,21.4928089621131,2.0,1.0
6,2459853.7906366,21.1891597884276,0.155996030206365,g,21.5482617111426,2.0,1.0
7,2459853.8102546,99.0,99.0,i,20.89903704521,2.0,1.0
8,2459853.8186921,21.1046065808362,0.132785005935232,g,21.6386197766103,2.0,1.0
9,2459854.7278009,21.7060301345205,0.245577994769375,g,21.5724423014211,2.0,1.0
10,2459854.7592361,21.7617023830119,0.239168319917593,g,21.6568290402103,2.0,1.0
11,2459854.7823727,21.3983456469419,0.229357094247338,r,21.3389509914228,2.0,1.0
12,2459855.7589236,99.0,99.0,g,21.3758825616163,2.0,1.0
13,2459855.7759144,99.0,99.0,r,21.3804296114125,2.0,1.0
15,2459855.8227315,99.0,99.0,g,21.1748902746644,2.0,1.0
16,2459856.6325926,99.0,99.0,i,20.4500148657928,2.0,1.0
17,2459856.7252778,99.0,99.0,r,21.1030892213326,2.0,1.0
18,2459856.7363426,99.0,99.0,g,20.8349783209142,2.0,1.0
19,2459856.7746528,99.0,99.0,g,21.0567183874161,2.0,1.0
20,2459854.7592361,21.4162006378174,0.341722995042801,g,99.0,2.0,0.0
