,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459854.9284028,20.2642670978652,0.107545059407764,g,21.0271767274429,2.0,1.0
1,2459854.9897454,99.0,99.0,i,20.4059677605774,2.0,1.0
2,2459855.9216898,20.5508654767157,0.13915185184774,r,21.0340287899422,2.0,1.0
3,2459855.9716088,20.6982855442124,0.110790073666361,g,21.4289192054509,2.0,1.0
4,2459856.0026852,20.5009030419096,0.0970678215652605,r,21.3751006231919,2.0,1.0
5,2459856.9328704,20.9161723615695,0.175243044578006,g,21.1489561762373,2.0,1.0
6,2459856.9466435,20.8464689979475,0.143685671891931,g,21.2948211292036,2.0,1.0
7,2459856.9639468,20.7131946893473,0.141842726246515,r,21.1755628036817,2.0,1.0
8,2459853.9528472,20.4775009155273,0.228101000189781,r,99.0,1.0,0.0
9,2459854.0033796,20.4631996154785,0.217943996191025,g,99.0,1.0,0.0
10,2459855.9216898,20.5972995758057,0.244551002979279,r,99.0,2.0,0.0
11,2459855.9716088,20.7801990509033,0.275673985481262,g,99.0,2.0,0.0
12,2459856.0026852,20.554801940918,0.190142065286636,r,99.0,2.0,0.0
13,2459856.9968634,20.6726665496826,0.212477892637253,r,99.0,1.0,0.0
14,2459853.9528472,20.4775009155273,0.228101000189781,r,99.0,1.0,0.0
15,2459855.9216898,20.5972995758057,0.244551002979279,r,99.0,2.0,0.0
16,2459855.9716088,20.7801990509033,0.275673985481262,g,99.0,2.0,0.0
17,2459856.0026852,20.554801940918,0.190142065286636,r,99.0,2.0,0.0
18,2459856.9968634,20.6726665496826,0.212477892637253,r,99.0,1.0,0.0
19,2459853.9528472,20.4775009155273,0.228101000189781,r,99.0,1.0,0.0
20,2459855.9216898,20.5972995758057,0.244551002979279,r,99.0,2.0,0.0
21,2459856.0026852,20.554801940918,0.190142065286636,r,99.0,2.0,0.0
22,2459856.9968634,20.6726665496826,0.212477892637253,r,99.0,1.0,0.0
23,2459853.9528472,20.4775009155273,0.228101000189781,r,99.0,1.0,0.0
24,2459855.9216898,20.5972995758057,0.244551002979279,r,99.0,2.0,0.0
25,2459856.9968634,20.6726665496826,0.212477892637253,r,99.0,1.0,0.0
26,2459853.9528472,20.4775009155273,0.228101000189781,r,99.0,1.0,0.0
27,2459856.9968634,20.6726665496826,0.212477892637253,r,99.0,1.0,0.0
28,2459853.9528472,20.4775009155273,0.228101000189781,r,99.0,1.0,0.0
