,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459854.9298264,20.7473689987219,0.140165354616557,g,21.2226530875141,2.0,1.0
1,2459855.9231019,99.0,99.0,r,21.2367897127946,2.0,1.0
2,2459855.9692361,21.0736365643427,0.156492533582603,g,21.429288299067,2.0,1.0
3,2459856.0012731,21.3322705455908,0.206167304290908,r,21.388606853651,2.0,1.0
4,2459856.934294,20.8080105719974,0.140075274097923,g,21.2839926586798,2.0,1.0
5,2459856.9499537,20.8200284464691,0.167186534565999,g,21.1039109959725,2.0,1.0
6,2459856.9653588,20.9156131672715,0.162622224826004,r,21.2295492105408,2.0,1.0
8,2459856.9959144,21.105732194062,0.19363365622695,r,21.2301658682421,2.0,1.0
9,2459857.9115394,21.160336870622,0.196116369571745,r,21.2709380468089,2.0,1.0
10,2459857.9495486,21.1737372872132,0.197205760875327,g,21.2783240822482,2.0,1.0
11,2459857.9707407,21.4675374116713,0.256580485223111,g,21.2863641455116,2.0,1.0
12,2459857.9914931,20.9482710493696,0.163297758257307,r,21.2577062814442,2.0,1.0
13,2459853.9655556,21.0027008056641,0.265226989984512,g,99.0,1.0,0.0
14,2459854.9298264,20.7117004394531,0.256379008293152,g,99.0,2.0,0.0
15,2459855.9692361,21.031099319458,0.257311999797821,g,99.0,2.0,0.0
16,2459855.9701968,20.5457992553711,0.221533000469208,g,99.0,1.0,0.0
17,2459856.934294,20.8082008361816,0.241102993488312,g,99.0,2.0,0.0
18,2459856.9499537,20.8087997436523,0.278008997440338,g,99.0,2.0,0.0
20,2459853.9655556,21.0027008056641,0.265226989984512,g,99.0,1.0,0.0
21,2459855.9692361,21.031099319458,0.257311999797821,g,99.0,2.0,0.0
22,2459855.9701968,20.5457992553711,0.221533000469208,g,99.0,1.0,0.0
23,2459856.934294,20.8082008361816,0.241102993488312,g,99.0,2.0,0.0
24,2459856.9499537,20.8087997436523,0.278008997440338,g,99.0,2.0,0.0
26,2459853.9655556,21.0027008056641,0.265226989984512,g,99.0,1.0,0.0
27,2459855.9692361,21.031099319458,0.257311999797821,g,99.0,2.0,0.0
28,2459856.934294,20.8082008361816,0.241102993488312,g,99.0,2.0,0.0
29,2459856.9499537,20.8087997436523,0.278008997440338,g,99.0,2.0,0.0
31,2459853.9655556,21.0027008056641,0.265226989984512,g,99.0,1.0,0.0
32,2459855.9692361,21.031099319458,0.257311999797821,g,99.0,2.0,0.0
33,2459856.9499537,20.8087997436523,0.278008997440338,g,99.0,2.0,0.0
35,2459853.9655556,21.0027008056641,0.265226989984512,g,99.0,1.0,0.0
36,2459856.9499537,20.8087997436523,0.278008997440338,g,99.0,2.0,0.0
38,2459853.9655556,21.0027008056641,0.265226989984512,g,99.0,1.0,0.0
40,2459853.9655556,21.0027008056641,0.265226989984512,g,99.0,1.0,0.0
