,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459853.9509606,20.6041251995801,0.116098670894589,r,21.2839428688352,2.0,1.0
1,2459853.9650926,20.7949847556842,0.137301130142806,g,21.2926852648162,2.0,1.0
2,2459854.0043171,20.8957600993731,0.128228157293113,g,21.4676873852909,2.0,1.0
3,2459854.9293519,20.7888758734598,0.171568719336306,g,21.0446663887633,2.0,1.0
4,2459854.9568519,20.583533278187,0.137536259835498,r,21.0793760423995,2.0,1.0
5,2459854.9964352,99.0,99.0,i,20.2673904448147,2.0,1.0
6,2459855.9226273,20.8155182207472,0.157937975803222,r,21.1611875907898,2.0,1.0
7,2459856.0017361,20.9073757503763,0.136268301990602,r,21.4132744287065,2.0,1.0
8,2459856.9338194,20.8460856506511,0.155500964791519,g,21.2086387199635,2.0,1.0
9,2459856.9494792,20.975332946219,0.160148426637225,g,21.305912044469,2.0,1.0
10,2459856.9648843,20.728360937152,0.114650373568369,r,21.4218080408896,2.0,1.0
11,2459857.9110648,20.2533186613149,0.0894538740178991,r,21.2162065666787,2.0,1.0
12,2459857.9490856,21.4870108049396,0.221630423110997,g,21.4648231551271,2.0,1.0
13,2459857.9712153,21.5728122044327,0.240950719706357,g,21.4598774238927,2.0,1.0
14,2459858.0021644,20.6692213341435,0.117579230538703,r,21.3352805888474,2.0,1.0
15,2459858.9767593,21.3895803374771,0.209699985616968,g,21.4274701248742,2.0,1.0
16,2459859.0041435,21.0463561387651,0.15968047989255,r,21.3801123549977,2.0,1.0
17,2459853.9650926,20.7702007293701,0.206613898277283,g,99.0,2.0,0.0
18,2459853.9890394,20.725700378418,0.21832600235939,g,99.0,1.0,0.0
19,2459853.9895139,20.9950008392334,0.268729001283646,g,99.0,1.0,0.0
20,2459854.9293519,20.7122001647949,0.280339986085892,g,99.0,2.0,0.0
21,2459854.9568519,20.4776992797852,0.274174988269806,r,99.0,2.0,0.0
22,2459857.9110648,20.2428035736084,0.205885693430901,r,99.0,2.0,0.0
23,2459853.9650926,20.7702007293701,0.206613898277283,g,99.0,2.0,0.0
24,2459853.9890394,20.725700378418,0.21832600235939,g,99.0,1.0,0.0
25,2459854.9293519,20.7122001647949,0.280339986085892,g,99.0,2.0,0.0
26,2459854.9568519,20.4776992797852,0.274174988269806,r,99.0,2.0,0.0
27,2459857.9110648,20.2428035736084,0.205885693430901,r,99.0,2.0,0.0
28,2459853.9650926,20.7702007293701,0.206613898277283,g,99.0,2.0,0.0
29,2459853.9890394,20.725700378418,0.21832600235939,g,99.0,1.0,0.0
30,2459854.9293519,20.7122001647949,0.280339986085892,g,99.0,2.0,0.0
31,2459857.9110648,20.2428035736084,0.205885693430901,r,99.0,2.0,0.0
32,2459853.9890394,20.725700378418,0.21832600235939,g,99.0,1.0,0.0
33,2459854.9293519,20.7122001647949,0.280339986085892,g,99.0,2.0,0.0
34,2459857.9110648,20.2428035736084,0.205885693430901,r,99.0,2.0,0.0
35,2459853.9890394,20.725700378418,0.21832600235939,g,99.0,1.0,0.0
36,2459857.9110648,20.2428035736084,0.205885693430901,r,99.0,2.0,0.0
37,2459853.9890394,20.725700378418,0.21832600235939,g,99.0,1.0,0.0
