,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459854.9959606,20.4443105691672,0.247259547431757,i,20.3033136832491,2.0,1.0
2,2459853.9485648,19.8010158538818,0.130353108048439,r,99.0,1.0,0.0
3,2459853.9899884,20.3677005767822,0.198797002434731,g,99.0,1.0,0.0
4,2459855.9678009,20.5872001647949,0.275260001420975,g,99.0,1.0,0.0
6,2459853.9485648,19.8010158538818,0.130353108048439,r,99.0,1.0,0.0
7,2459853.9899884,20.3677005767822,0.198797002434731,g,99.0,1.0,0.0
8,2459855.9678009,20.5872001647949,0.275260001420975,g,99.0,1.0,0.0
9,2459853.9899884,20.3677005767822,0.198797002434731,g,99.0,1.0,0.0
10,2459855.9678009,20.5872001647949,0.275260001420975,g,99.0,1.0,0.0
11,2459853.9899884,20.3677005767822,0.198797002434731,g,99.0,1.0,0.0
