,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459857.0258333,19.7157001495361,0.232963994145393,r,99.0,1,0.0
1,2459857.0282176,19.6247005462646,0.242929995059967,r,99.0,1,0.0
2,2459857.0306134,19.6438007354736,0.251982003450394,r,99.0,1,0.0
3,2459858.0266782,19.8227996826172,0.266483992338181,r,99.0,1,0.0
4,2459858.0290625,19.8808002471924,0.295246988534927,r,99.0,1,0.0
5,2459858.0314468,19.7544002532959,0.295073002576828,r,99.0,1,0.0
6,2459859.0274653,19.8500995635986,0.254521995782852,r,99.0,1,0.0
7,2459859.0298958,19.8812007904053,0.245527997612953,r,99.0,1,0.0
8,2459860.0256019,19.9260005950928,0.219714000821114,r,99.0,1,0.0
9,2459860.0280324,19.6656360626221,0.190001264214516,r,99.0,1,0.0
10,2459860.0328935,19.421199798584,0.246329993009567,r,99.0,1,0.0
11,2459861.0267708,19.9819488525391,0.216449066996574,r,99.0,1,0.0
12,2459861.0291667,19.9442005157471,0.250959008932114,r,99.0,1,0.0
13,2459861.0315509,20.0251998901367,0.289276987314224,r,99.0,1,0.0
14,2459861.0339352,19.669303894043,0.206604599952698,r,99.0,1,0.0
15,2459857.0282176,19.6247005462646,0.242929995059967,r,99.0,1,0.0
16,2459857.0306134,19.6438007354736,0.251982003450394,r,99.0,1,0.0
17,2459858.0266782,19.8227996826172,0.266483992338181,r,99.0,1,0.0
18,2459858.0290625,19.8808002471924,0.295246988534927,r,99.0,1,0.0
19,2459858.0314468,19.7544002532959,0.295073002576828,r,99.0,1,0.0
20,2459859.0274653,19.8500995635986,0.254521995782852,r,99.0,1,0.0
21,2459859.0298958,19.8812007904053,0.245527997612953,r,99.0,1,0.0
22,2459860.0256019,19.9260005950928,0.219714000821114,r,99.0,1,0.0
23,2459860.0280324,19.6656360626221,0.190001264214516,r,99.0,1,0.0
24,2459860.0328935,19.421199798584,0.246329993009567,r,99.0,1,0.0
25,2459861.0267708,19.9819488525391,0.216449066996574,r,99.0,1,0.0
26,2459861.0291667,19.9442005157471,0.250959008932114,r,99.0,1,0.0
27,2459861.0315509,20.0251998901367,0.289276987314224,r,99.0,1,0.0
28,2459861.0339352,19.669303894043,0.206604599952698,r,99.0,1,0.0
29,2459857.0282176,19.6247005462646,0.242929995059967,r,99.0,1,0.0
30,2459857.0306134,19.6438007354736,0.251982003450394,r,99.0,1,0.0
31,2459858.0266782,19.8227996826172,0.266483992338181,r,99.0,1,0.0
32,2459858.0314468,19.7544002532959,0.295073002576828,r,99.0,1,0.0
33,2459859.0274653,19.8500995635986,0.254521995782852,r,99.0,1,0.0
34,2459859.0298958,19.8812007904053,0.245527997612953,r,99.0,1,0.0
35,2459860.0256019,19.9260005950928,0.219714000821114,r,99.0,1,0.0
36,2459860.0280324,19.6656360626221,0.190001264214516,r,99.0,1,0.0
37,2459860.0328935,19.421199798584,0.246329993009567,r,99.0,1,0.0
38,2459861.0267708,19.9819488525391,0.216449066996574,r,99.0,1,0.0
39,2459861.0291667,19.9442005157471,0.250959008932114,r,99.0,1,0.0
40,2459861.0315509,20.0251998901367,0.289276987314224,r,99.0,1,0.0
41,2459861.0339352,19.669303894043,0.206604599952698,r,99.0,1,0.0
42,2459857.0282176,19.6247005462646,0.242929995059967,r,99.0,1,0.0
43,2459857.0306134,19.6438007354736,0.251982003450394,r,99.0,1,0.0
44,2459858.0314468,19.7544002532959,0.295073002576828,r,99.0,1,0.0
45,2459859.0274653,19.8500995635986,0.254521995782852,r,99.0,1,0.0
46,2459859.0298958,19.8812007904053,0.245527997612953,r,99.0,1,0.0
47,2459860.0256019,19.9260005950928,0.219714000821114,r,99.0,1,0.0
48,2459860.0280324,19.6656360626221,0.190001264214516,r,99.0,1,0.0
49,2459860.0328935,19.421199798584,0.246329993009567,r,99.0,1,0.0
50,2459861.0267708,19.9819488525391,0.216449066996574,r,99.0,1,0.0
51,2459861.0291667,19.9442005157471,0.250959008932114,r,99.0,1,0.0
52,2459861.0315509,20.0251998901367,0.289276987314224,r,99.0,1,0.0
53,2459861.0339352,19.669303894043,0.206604599952698,r,99.0,1,0.0
54,2459857.0306134,19.6438007354736,0.251982003450394,r,99.0,1,0.0
55,2459858.0314468,19.7544002532959,0.295073002576828,r,99.0,1,0.0
56,2459859.0274653,19.8500995635986,0.254521995782852,r,99.0,1,0.0
57,2459859.0298958,19.8812007904053,0.245527997612953,r,99.0,1,0.0
58,2459860.0256019,19.9260005950928,0.219714000821114,r,99.0,1,0.0
59,2459860.0280324,19.6656360626221,0.190001264214516,r,99.0,1,0.0
60,2459860.0328935,19.421199798584,0.246329993009567,r,99.0,1,0.0
61,2459861.0267708,19.9819488525391,0.216449066996574,r,99.0,1,0.0
62,2459861.0291667,19.9442005157471,0.250959008932114,r,99.0,1,0.0
63,2459861.0315509,20.0251998901367,0.289276987314224,r,99.0,1,0.0
64,2459861.0339352,19.669303894043,0.206604599952698,r,99.0,1,0.0
65,2459858.0314468,19.7544002532959,0.295073002576828,r,99.0,1,0.0
66,2459859.0274653,19.8500995635986,0.254521995782852,r,99.0,1,0.0
67,2459859.0298958,19.8812007904053,0.245527997612953,r,99.0,1,0.0
68,2459860.0256019,19.9260005950928,0.219714000821114,r,99.0,1,0.0
69,2459860.0280324,19.6656360626221,0.190001264214516,r,99.0,1,0.0
70,2459860.0328935,19.421199798584,0.246329993009567,r,99.0,1,0.0
71,2459861.0267708,19.9819488525391,0.216449066996574,r,99.0,1,0.0
72,2459861.0291667,19.9442005157471,0.250959008932114,r,99.0,1,0.0
73,2459861.0315509,20.0251998901367,0.289276987314224,r,99.0,1,0.0
74,2459861.0339352,19.669303894043,0.206604599952698,r,99.0,1,0.0
75,2459859.0274653,19.8500995635986,0.254521995782852,r,99.0,1,0.0
76,2459859.0298958,19.8812007904053,0.245527997612953,r,99.0,1,0.0
77,2459860.0256019,19.9260005950928,0.219714000821114,r,99.0,1,0.0
78,2459860.0280324,19.6656360626221,0.190001264214516,r,99.0,1,0.0
79,2459860.0328935,19.421199798584,0.246329993009567,r,99.0,1,0.0
80,2459861.0267708,19.9819488525391,0.216449066996574,r,99.0,1,0.0
81,2459861.0291667,19.9442005157471,0.250959008932114,r,99.0,1,0.0
82,2459861.0315509,20.0251998901367,0.289276987314224,r,99.0,1,0.0
83,2459861.0339352,19.669303894043,0.206604599952698,r,99.0,1,0.0
84,2459859.0298958,19.8812007904053,0.245527997612953,r,99.0,1,0.0
85,2459860.0256019,19.9260005950928,0.219714000821114,r,99.0,1,0.0
86,2459860.0280324,19.6656360626221,0.190001264214516,r,99.0,1,0.0
87,2459860.0328935,19.421199798584,0.246329993009567,r,99.0,1,0.0
88,2459861.0267708,19.9819488525391,0.216449066996574,r,99.0,1,0.0
89,2459861.0291667,19.9442005157471,0.250959008932114,r,99.0,1,0.0
90,2459861.0315509,20.0251998901367,0.289276987314224,r,99.0,1,0.0
91,2459861.0339352,19.669303894043,0.206604599952698,r,99.0,1,0.0
92,2459860.0256019,19.9260005950928,0.219714000821114,r,99.0,1,0.0
93,2459860.0280324,19.6656360626221,0.190001264214516,r,99.0,1,0.0
94,2459860.0328935,19.421199798584,0.246329993009567,r,99.0,1,0.0
95,2459861.0267708,19.9819488525391,0.216449066996574,r,99.0,1,0.0
96,2459861.0291667,19.9442005157471,0.250959008932114,r,99.0,1,0.0
97,2459861.0315509,20.0251998901367,0.289276987314224,r,99.0,1,0.0
98,2459861.0339352,19.669303894043,0.206604599952698,r,99.0,1,0.0
99,2459860.0280324,19.6656360626221,0.190001264214516,r,99.0,1,0.0
100,2459860.0328935,19.421199798584,0.246329993009567,r,99.0,1,0.0
101,2459861.0267708,19.9819488525391,0.216449066996574,r,99.0,1,0.0
102,2459861.0291667,19.9442005157471,0.250959008932114,r,99.0,1,0.0
103,2459861.0315509,20.0251998901367,0.289276987314224,r,99.0,1,0.0
104,2459861.0339352,19.669303894043,0.206604599952698,r,99.0,1,0.0
105,2459860.0328935,19.421199798584,0.246329993009567,r,99.0,1,0.0
106,2459861.0267708,19.9819488525391,0.216449066996574,r,99.0,1,0.0
107,2459861.0291667,19.9442005157471,0.250959008932114,r,99.0,1,0.0
108,2459861.0315509,20.0251998901367,0.289276987314224,r,99.0,1,0.0
109,2459861.0339352,19.669303894043,0.206604599952698,r,99.0,1,0.0
110,2459861.0267708,19.9819488525391,0.216449066996574,r,99.0,1,0.0
