,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459858.7944907,99.0,99.0,r,20.1801163969297,2.0,1.0
1,2459858.8602778,99.0,99.0,r,20.5057159217299,2.0,1.0
2,2459858.8991667,99.0,99.0,g,20.5335281111592,2.0,1.0
3,2459858.9420486,99.0,99.0,g,21.0114070021356,2.0,1.0
4,2459859.757419,99.0,99.0,r,20.0672530763132,2.0,1.0
5,2459859.816875,99.0,99.0,r,20.2027124729138,2.0,1.0
6,2459859.9071181,99.0,99.0,g,19.9760730785947,2.0,1.0
7,2459860.9004861,99.0,99.0,r,20.1038109226722,2.0,1.0
8,2459860.9635069,99.0,99.0,g,19.7426394833386,2.0,1.0
9,2459861.895706,19.3780484014943,0.227520655625655,g,19.3273821142893,2.0,1.0
10,2459862.7156366,99.0,99.0,g,18.7448094264732,2.0,1.0
11,2459864.8790509,17.3784346193816,0.0283587454765801,g,19.5886028715193,2.0,1.0
12,2459864.9795023,17.2891991937878,0.0364351319952129,g,19.227284114874,2.0,1.0
13,2459865.7608333,17.147972645677,0.0200332256425233,g,19.7354812280395,2.0,1.0
14,2459865.8164005,17.3154223496114,0.0173494553885102,r,20.0590935223664,2.0,1.0
15,2459865.9870833,17.3874078847428,0.0222640837026226,r,19.8602816086472,2.0,1.0
16,2459864.8523843,17.7413673400879,0.0642013251781464,r,99.0,1.0,0.0
17,2459864.8781134,17.3720932006836,0.0622912421822548,g,99.0,1.0,0.0
18,2459864.8790509,17.3823413848877,0.0831734538078308,g,99.0,2.0,0.0
19,2459864.9795023,17.2853698730469,0.0707613825798035,g,99.0,2.0,0.0
20,2459865.7608333,17.1789073944092,0.0499720834195614,g,99.0,2.0,0.0
21,2459865.8164005,17.3116340637207,0.0551557801663876,r,99.0,2.0,0.0
22,2459865.9870833,17.411958694458,0.0466900169849396,r,99.0,2.0,0.0
23,2459864.8523843,17.7413673400879,0.0642013251781464,r,99.0,1.0,0.0
24,2459864.8781134,17.3720932006836,0.0622912421822548,g,99.0,1.0,0.0
25,2459864.8790509,17.3823413848877,0.0831734538078308,g,99.0,2.0,0.0
26,2459864.9795023,17.2853698730469,0.0707613825798035,g,99.0,2.0,0.0
27,2459865.7608333,17.1789073944092,0.0499720834195614,g,99.0,2.0,0.0
28,2459865.9870833,17.411958694458,0.0466900169849396,r,99.0,2.0,0.0
29,2459864.8523843,17.7413673400879,0.0642013251781464,r,99.0,1.0,0.0
30,2459864.8781134,17.3720932006836,0.0622912421822548,g,99.0,1.0,0.0
31,2459864.8790509,17.3823413848877,0.0831734538078308,g,99.0,2.0,0.0
32,2459864.9795023,17.2853698730469,0.0707613825798035,g,99.0,2.0,0.0
33,2459865.7608333,17.1789073944092,0.0499720834195614,g,99.0,2.0,0.0
34,2459864.8781134,17.3720932006836,0.0622912421822548,g,99.0,1.0,0.0
35,2459864.8790509,17.3823413848877,0.0831734538078308,g,99.0,2.0,0.0
36,2459864.9795023,17.2853698730469,0.0707613825798035,g,99.0,2.0,0.0
37,2459865.7608333,17.1789073944092,0.0499720834195614,g,99.0,2.0,0.0
38,2459864.8781134,17.3720932006836,0.0622912421822548,g,99.0,1.0,0.0
39,2459864.8790509,17.3823413848877,0.0831734538078308,g,99.0,2.0,0.0
40,2459864.9795023,17.2853698730469,0.0707613825798035,g,99.0,2.0,0.0
41,2459864.8781134,17.3720932006836,0.0622912421822548,g,99.0,1.0,0.0
42,2459864.9795023,17.2853698730469,0.0707613825798035,g,99.0,2.0,0.0
43,2459864.8781134,17.3720932006836,0.0622912421822548,g,99.0,1.0,0.0
