,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459864.6149074,19.6278019483741,0.184369031879689,r,19.80546779943,2.0,1.0
1,2459864.6158565,19.7380140213281,0.20792251084273,r,19.7851460329116,2.0,1.0
2,2459864.616794,19.7189663722909,0.185109865391642,r,19.8922782488736,2.0,1.0
3,2459864.6177315,19.7029566687801,0.194133955422812,r,19.8245886997324,2.0,1.0
4,2459864.6186806,19.5849360365134,0.159337391271302,r,19.9210275694464,2.0,1.0
5,2459865.6008102,19.6051967501705,0.134819999149053,r,20.1226967391078,2.0,1.0
6,2459865.6031713,19.7501799519385,0.14013740941628,r,20.2256805288976,2.0,1.0
7,2459865.6055208,19.5492136549012,0.10984659334225,r,20.2891329621213,2.0,1.0
8,2459865.6074074,19.5985332681386,0.115444712541954,r,20.2844839405249,2.0,1.0
9,2459865.608831,18.995599099689,0.0968309547865439,r,19.8724493533617,2.0,1.0
10,2459866.5919792,19.833710946147,0.216647591791273,r,19.8362120705589,2.0,1.0
11,2459866.5943287,19.6216833427062,0.138210939864886,r,20.1122130810959,2.0,1.0
12,2459866.5966898,19.5630347648702,0.100127417934772,r,20.4035380119287,2.0,1.0
13,2459866.5990509,19.6676830962533,0.120268801605263,r,20.3091864264694,2.0,1.0
14,2459866.601412,19.5001784467292,0.103796619011998,r,20.3016062173657,2.0,1.0
15,2459866.5966898,19.6037921905518,0.210167244076729,r,99.0,2.0,0.0
