,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459862.6954745,99.0,99.0,g,20.2613042901407,2.0,1.0
17,2459863.7215278,18.3391723632812,0.0724496021866798,r,99.0,1.0,0.0
18,2459865.6454051,16.0045356750488,0.0326965637505054,r,99.0,1.0,0.0
19,2459865.7173495,15.7522144317627,0.036275789141655,g,99.0,1.0,0.0
34,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
35,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
36,2459863.7215278,18.3391723632812,0.0724496021866798,r,99.0,1.0,0.0
37,2459865.6454051,16.0045356750488,0.0326965637505054,r,99.0,1.0,0.0
38,2459865.7173495,15.7522144317627,0.036275789141655,g,99.0,1.0,0.0
52,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
53,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
54,2459863.7215278,18.3391723632812,0.0724496021866798,r,99.0,1.0,0.0
55,2459865.6454051,16.0045356750488,0.0326965637505054,r,99.0,1.0,0.0
56,2459865.7173495,15.7522144317627,0.036275789141655,g,99.0,1.0,0.0
69,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
70,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
71,2459863.7215278,18.3391723632812,0.0724496021866798,r,99.0,1.0,0.0
72,2459865.6454051,16.0045356750488,0.0326965637505054,r,99.0,1.0,0.0
73,2459865.7173495,15.7522144317627,0.036275789141655,g,99.0,1.0,0.0
85,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
86,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
87,2459863.7215278,18.3391723632812,0.0724496021866798,r,99.0,1.0,0.0
88,2459865.7173495,15.7522144317627,0.036275789141655,g,99.0,1.0,0.0
100,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
101,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
102,2459863.7215278,18.3391723632812,0.0724496021866798,r,99.0,1.0,0.0
103,2459865.7173495,15.7522144317627,0.036275789141655,g,99.0,1.0,0.0
114,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
115,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
116,2459863.7215278,18.3391723632812,0.0724496021866798,r,99.0,1.0,0.0
117,2459865.7173495,15.7522144317627,0.036275789141655,g,99.0,1.0,0.0
127,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
128,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
129,2459865.7173495,15.7522144317627,0.036275789141655,g,99.0,1.0,0.0
139,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
140,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
150,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
151,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
160,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
161,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
169,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
170,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
177,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
178,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
184,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
185,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
190,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
191,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
195,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
196,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
199,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
200,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
202,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
203,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
204,2459867.6299306,16.3759002685547,0.0331787168979645,g,99.0,1.0,0.0
205,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
206,2459867.6699653,16.6410961151123,0.0308412648737431,r,99.0,1.0,0.0
