,jd,mag,mag_unc,filter,limmag,programid,forced
1,2459863.9930208,99.0,99.0,r,20.6718733753068,2.0,1.0
2,2459864.9726968,99.0,99.0,g,20.3683457111783,2.0,1.0
3,2459864.9973958,99.0,99.0,r,20.4593971333576,2.0,1.0
4,2459865.8940856,99.0,99.0,r,20.3486328879356,2.0,1.0
5,2459865.9108912,99.0,99.0,g,20.1654085158212,2.0,1.0
6,2459865.9721065,99.0,99.0,g,20.450798988548,2.0,1.0
7,2459866.0075231,99.0,99.0,r,20.7812022013861,2.0,1.0
8,2459866.8830208,99.0,99.0,r,20.6109932449859,2.0,1.0
9,2459866.9278819,20.1856005688654,0.220108811836068,i,20.1708927843407,2.0,1.0
10,2459866.9539005,99.0,99.0,g,20.6266428571204,2.0,1.0
11,2459866.971875,99.0,99.0,g,20.5845520448147,2.0,1.0
12,2459867.0120602,99.0,99.0,r,20.863595269226,2.0,1.0
13,2459867.906713,99.0,99.0,r,20.3529364168444,2.0,1.0
14,2459867.9285417,99.0,99.0,g,20.3101288502056,2.0,1.0
15,2459867.9686806,99.0,99.0,g,20.465418021093,2.0,1.0
16,2459868.0115162,20.8145100782037,0.223779052673489,r,20.7818472897643,2.0,1.0
17,2459869.9953588,21.1889328253904,0.254759278662976,r,21.0154935881463,2.0,1.0
18,2459870.8687963,20.5980395292642,0.183719336919456,g,20.7795381451271,2.0,1.0
19,2459870.9151273,99.0,99.0,i,20.1991451487119,2.0,1.0
20,2459870.9205556,20.3091183336482,0.139910144660054,r,20.786381108666,2.0,1.0
22,2459870.9789815,20.7046774997247,0.173293312745448,r,20.9496087789411,2.0,1.0
23,2459871.0133102,99.0,99.0,g,21.1998207691037,2.0,1.0
24,2459870.0092477,20.4187564849854,0.209964618086815,r,99.0,1.0,0.0
