,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459865.9334375,99.0,99.0,g,20.4877948820783,2.0,1.0
2,2459867.9454977,99.0,99.0,g,20.6022268807772,2.0,1.0
4,2459867.9530903,20.5757971034646,0.229727306426066,g,20.5146513413846,2.0,1.0
6,2459872.8324421,20.5288591955565,0.128525907082369,g,21.0982682905989,2.0,1.0
8,2459872.9031019,20.4343910279161,0.115231676064914,r,21.1223471199572,2.0,1.0
10,2459872.9059375,20.5884286691844,0.177897618944133,r,20.8048891199145,2.0,1.0
12,2459869.8461111,20.5728797912598,0.206147208809853,r,99.0,1.0,0.0
13,2459871.8635532,20.1284008026123,0.29951000213623,g,99.0,1.0,0.0
15,2459872.9031019,20.3918895721436,0.194397523999214,r,99.0,2.0,0.0
16,2459869.8461111,20.5728797912598,0.206147208809853,r,99.0,1.0,0.0
17,2459871.8635532,20.1284008026123,0.29951000213623,g,99.0,1.0,0.0
19,2459869.8461111,20.5728797912598,0.206147208809853,r,99.0,1.0,0.0
20,2459871.8635532,20.1284008026123,0.29951000213623,g,99.0,1.0,0.0
21,2459871.8635532,20.1284008026123,0.29951000213623,g,99.0,1.0,0.0
