,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459870.9249884,18.5330812294168,0.0310418704483173,r,20.6450973133227,2.0,1.0
2,2459870.9259375,18.2682578256758,0.0243358084084011,r,20.6445291707741,2.0,1.0
4,2459872.8964815,18.2344824789577,0.0237614584172655,r,20.6366855355325,2.0,1.0
5,2459872.896956,18.5321220700708,0.0271278081105146,r,20.7904710972024,2.0,1.0
8,2459873.8747685,99.0,99.0,g,18.9927277668282,2.0,1.0
10,2459874.9138079,20.4894548010678,0.106499091978995,g,21.2629758277691,2.0,1.0
12,2459874.9147569,20.8819786732782,0.147628034823938,g,21.3009423658539,2.0,1.0
14,2459876.8598843,18.504970431286,0.0421733943095363,r,20.2842598292596,2.0,1.0
16,2459870.9249884,18.5380992889404,0.143439993262291,r,99.0,2.0,0.0
18,2459870.9259375,18.3306999206543,0.153742998838425,r,99.0,2.0,0.0
19,2459874.9138079,20.5221004486084,0.234598994255066,g,99.0,2.0,0.0
21,2459876.8598843,18.5100765228271,0.122902281582355,r,99.0,2.0,0.0
23,2459870.9249884,18.5380992889404,0.143439993262291,r,99.0,2.0,0.0
25,2459870.9259375,18.3306999206543,0.153742998838425,r,99.0,2.0,0.0
27,2459876.8598843,18.5100765228271,0.122902281582355,r,99.0,2.0,0.0
29,2459870.9249884,18.5380992889404,0.143439993262291,r,99.0,2.0,0.0
31,2459870.9259375,18.3306999206543,0.153742998838425,r,99.0,2.0,0.0
32,2459876.8598843,18.5100765228271,0.122902281582355,r,99.0,2.0,0.0
34,2459870.9249884,18.5380992889404,0.143439993262291,r,99.0,2.0,0.0
36,2459870.9259375,18.3306999206543,0.153742998838425,r,99.0,2.0,0.0
38,2459870.9249884,18.5380992889404,0.143439993262291,r,99.0,2.0,0.0
40,2459870.9259375,18.3306999206543,0.153742998838425,r,99.0,2.0,0.0
42,2459870.9259375,18.3306999206543,0.153742998838425,r,99.0,2.0,0.0
43,2459870.9259375,18.3306999206543,0.153742998838425,r,99.0,2.0,0.0
