,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459870.9962847,99.0,99.0,r,20.4909258464367,2.0,1.0
1,2459871.0109491,99.0,99.0,g,20.5799143615564,2.0,1.0
2,2459871.9115394,99.0,99.0,r,20.0330888474122,2.0,1.0
4,2459871.9684606,99.0,99.0,g,20.0440831526386,2.0,1.0
5,2459871.9939005,99.0,99.0,g,20.556333261587,2.0,1.0
6,2459872.0069213,99.0,99.0,r,20.1829371612257,2.0,1.0
7,2459872.9197569,99.0,99.0,r,20.4064519130517,2.0,1.0
8,2459872.9725926,99.0,99.0,g,20.7931701412013,2.0,1.0
9,2459872.9891204,99.0,99.0,i,20.2965773263904,2.0,1.0
10,2459872.996713,99.0,99.0,i,19.0274998614672,2.0,1.0
11,2459873.0092245,99.0,99.0,r,19.8840176973951,2.0,1.0
12,2459873.8780093,99.0,99.0,g,20.7379289603801,2.0,1.0
13,2459873.9329745,99.0,99.0,g,20.3016809788963,2.0,1.0
14,2459873.9516204,20.0098517858827,0.154737353604386,r,20.3777496623149,2.0,1.0
15,2459873.9963194,20.9009374493452,0.209088033617604,r,20.9420002927214,2.0,1.0
16,2459874.9074884,99.0,99.0,g,20.576739862656,2.0,1.0
17,2459874.9720486,21.1956210037322,0.221875412140775,g,21.1722338500336,2.0,1.0
18,2459874.9942593,21.0873361747477,0.224302205663225,r,21.0521381033028,2.0,1.0
19,2459876.9121181,19.9953605348458,0.231191538290071,r,19.9273164872518,2.0,1.0
20,2459876.9484606,99.0,99.0,g,17.828030086771,2.0,1.0
21,2459876.9918866,19.9951970077275,0.158459503885636,r,20.3372870671242,2.0,1.0
22,2459877.0152546,12.1986221457486,0.125592536384062,g,12.7930983567098,2.0,1.0
23,2459877.9148843,20.7149077586782,0.185769183007646,g,20.8843593699625,2.0,1.0
24,2459877.9221412,20.9911658172608,0.190057959635175,g,21.1358364498752,2.0,1.0
25,2459877.9582292,19.9164634086525,0.0940451465974305,r,20.82500822834,2.0,1.0
26,2459877.9682986,20.0078353651684,0.237874974152403,i,19.9088492689986,2.0,1.0
27,2459877.9692361,19.6384223230345,0.135802839266002,i,20.1480359872524,2.0,1.0
28,2459875.0066204,20.3306007385254,0.235214993357658,r,99.0,1.0,0.0
29,2459876.9918866,19.9664001464844,0.237742006778717,r,99.0,2.0,0.0
30,2459877.9148843,20.3743991851807,0.326187014579773,g,99.0,2.0,0.0
31,2459877.9582292,19.8181991577148,0.241851001977921,r,99.0,2.0,0.0
32,2459877.9692361,19.5399646759033,0.204405322670937,i,99.0,2.0,0.0
33,2459875.0066204,20.3306007385254,0.235214993357658,r,99.0,1.0,0.0
34,2459877.9148843,20.3743991851807,0.326187014579773,g,99.0,2.0,0.0
35,2459877.9582292,19.8181991577148,0.241851001977921,r,99.0,2.0,0.0
36,2459877.9692361,19.5399646759033,0.204405322670937,i,99.0,2.0,0.0
37,2459875.0066204,20.3306007385254,0.235214993357658,r,99.0,1.0,0.0
38,2459877.9148843,20.3743991851807,0.326187014579773,g,99.0,2.0,0.0
39,2459877.9582292,19.8181991577148,0.241851001977921,r,99.0,2.0,0.0
40,2459875.0066204,20.3306007385254,0.235214993357658,r,99.0,1.0,0.0
41,2459877.9148843,20.3743991851807,0.326187014579773,g,99.0,2.0,0.0
42,2459875.0066204,20.3306007385254,0.235214993357658,r,99.0,1.0,0.0
