,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459874.6408912,18.7313575744629,0.0824935510754585,r,99.0,1,0.0
1,2459874.6996181,18.7057762145996,0.0540507398545742,g,99.0,1,0.0
2,2459877.6751968,19.3523197174072,0.111016251146793,r,99.0,1,0.0
3,2459877.7165509,19.9344310760498,0.167197480797768,g,99.0,1,0.0
4,2459874.6408912,18.7313575744629,0.0824935510754585,r,99.0,1,0.0
5,2459874.6996181,18.7057762145996,0.0540507398545742,g,99.0,1,0.0
6,2459877.7165509,19.9344310760498,0.167197480797768,g,99.0,1,0.0
7,2459874.6996181,18.7057762145996,0.0540507398545742,g,99.0,1,0.0
8,2459877.7165509,19.9344310760498,0.167197480797768,g,99.0,1,0.0
9,2459877.7165509,19.9344310760498,0.167197480797768,g,99.0,1,0.0
