,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459872.8964815,99.0,99.0,r,21.1186882803026,2.0,1.0
2,2459874.9138079,20.0708071938299,0.0714242148000874,g,21.2780792962263,2.0,1.0
4,2459879.9292708,99.0,99.0,r,20.808606105161,2.0,1.0
6,2459874.8627778,19.6153316497803,0.0892466604709625,r,99.0,1.0,0.0
7,2459874.9016435,20.1067638397217,0.133945688605309,g,99.0,1.0,0.0
8,2459874.9138079,20.120813369751,0.15647841989994,g,99.0,2.0,0.0
9,2459878.8213889,20.3156490325928,0.147323966026306,r,99.0,1.0,0.0
10,2459874.9016435,20.1067638397217,0.133945688605309,g,99.0,1.0,0.0
11,2459874.9138079,20.120813369751,0.15647841989994,g,99.0,2.0,0.0
12,2459878.8213889,20.3156490325928,0.147323966026306,r,99.0,1.0,0.0
13,2459874.9016435,20.1067638397217,0.133945688605309,g,99.0,1.0,0.0
14,2459878.8213889,20.3156490325928,0.147323966026306,r,99.0,1.0,0.0
15,2459878.8213889,20.3156490325928,0.147323966026306,r,99.0,1.0,0.0
