,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459874.7825579,99.0,99.0,r,21.0982961630966,2.0,1.0
2,2459874.7834954,99.0,99.0,r,21.2249750234575,2.0,1.0
4,2459876.8061458,99.0,99.0,g,20.9380915580196,2.0,1.0
6,2459879.7248727,18.0088790422936,0.0308583502726651,i,20.1273330703781,2.0,1.0
7,2459880.6550347,18.8694721281083,0.0354370106650551,r,20.8377152189835,2.0,1.0
9,2459880.6559722,18.8104517271866,0.0335281594509463,r,20.8388132332306,2.0,1.0
11,2459880.769919,18.7819676438815,0.0300566923650573,g,20.9290004672825,2.0,1.0
13,2459880.7708565,18.784592293726,0.0303468566226489,g,20.921193800808,2.0,1.0
14,2459882.6723264,21.2657734337521,0.262099235465958,g,21.0614948375259,2.0,1.0
16,2459882.6809954,21.4268243252693,0.258586584415344,g,21.237195140006,2.0,1.0
18,2459882.8076042,99.0,99.0,r,20.2170854899536,2.0,1.0
20,2459880.6550347,18.8250255584717,0.0815965533256531,r,99.0,2.0,0.0
22,2459880.6559722,18.8207454681396,0.0700951144099236,r,99.0,2.0,0.0
24,2459880.769919,18.7996597290039,0.0898070707917213,g,99.0,2.0,0.0
26,2459880.7708565,18.779993057251,0.0696715861558914,g,99.0,2.0,0.0
28,2459880.6559722,18.8207454681396,0.0700951144099236,r,99.0,2.0,0.0
30,2459880.769919,18.7996597290039,0.0898070707917213,g,99.0,2.0,0.0
32,2459880.7708565,18.779993057251,0.0696715861558914,g,99.0,2.0,0.0
34,2459880.6559722,18.8207454681396,0.0700951144099236,r,99.0,2.0,0.0
35,2459880.769919,18.7996597290039,0.0898070707917213,g,99.0,2.0,0.0
37,2459880.7708565,18.779993057251,0.0696715861558914,g,99.0,2.0,0.0
39,2459880.769919,18.7996597290039,0.0898070707917213,g,99.0,2.0,0.0
41,2459880.7708565,18.779993057251,0.0696715861558914,g,99.0,2.0,0.0
42,2459880.769919,18.7996597290039,0.0898070707917213,g,99.0,2.0,0.0
44,2459880.7708565,18.779993057251,0.0696715861558914,g,99.0,2.0,0.0
46,2459880.7708565,18.779993057251,0.0696715861558914,g,99.0,2.0,0.0
47,2459880.7708565,18.779993057251,0.0696715861558914,g,99.0,2.0,0.0
