,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459872.9144213,99.0,99.0,r,21.0201917477124,2.0,1.0
2,2459873.848588,99.0,99.0,g,19.8647617151867,2.0,1.0
4,2459874.8128819,99.0,99.0,r,21.3967295685556,2.0,1.0
6,2459876.843831,18.5154961867717,0.0328021117454442,r,20.5676274664412,2.0,1.0
8,2459879.8503819,99.0,99.0,g,21.2918336887111,2.0,1.0
10,2459879.8953125,99.0,99.0,r,21.2219287481349,2.0,1.0
12,2459881.8971296,99.0,99.0,g,21.3221108910022,2.0,1.0
14,2459882.7812731,99.0,99.0,r,20.9374896966425,2.0,1.0
16,2459883.7908333,99.0,99.0,i,20.4796844167606,2.0,1.0
17,2459883.8197569,99.0,99.0,r,21.109366994403,2.0,1.0
19,2459876.843831,18.5147895812988,0.101215086877346,r,99.0,2.0,0.0
21,2459877.8823958,19.1137237548828,0.088835135102272,r,99.0,1.0,0.0
22,2459877.9037847,19.4567546844482,0.0929813459515572,g,99.0,1.0,0.0
24,2459877.8823958,19.1137237548828,0.088835135102272,r,99.0,1.0,0.0
25,2459877.9037847,19.4567546844482,0.0929813459515572,g,99.0,1.0,0.0
27,2459877.9037847,19.4567546844482,0.0929813459515572,g,99.0,1.0,0.0
28,2459877.9037847,19.4567546844482,0.0929813459515572,g,99.0,1.0,0.0
