,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459888.0289468,20.1093997955322,0.31172901391983,r,99.0,1,0.0
1,2459888.0314468,19.980899810791,0.323716014623642,r,99.0,1,0.0
2,2459888.0339468,19.8376007080078,0.304017007350922,r,99.0,1,0.0
3,2459888.0364468,20.1306991577148,0.344868004322052,r,99.0,1,0.0
4,2459889.0277894,19.7073001861572,0.295459002256393,r,99.0,1,0.0
5,2459890.0289815,20.2019004821777,0.244328007102013,r,99.0,1,0.0
6,2459890.0314468,20.0697002410889,0.222458004951477,r,99.0,1,0.0
7,2459890.033912,19.8276309967041,0.197166383266449,r,99.0,1,0.0
8,2459888.0289468,20.1093997955322,0.31172901391983,r,99.0,1,0.0
9,2459888.0314468,19.980899810791,0.323716014623642,r,99.0,1,0.0
10,2459888.0339468,19.8376007080078,0.304017007350922,r,99.0,1,0.0
11,2459888.0364468,20.1306991577148,0.344868004322052,r,99.0,1,0.0
12,2459890.0289815,20.2019004821777,0.244328007102013,r,99.0,1,0.0
13,2459890.0314468,20.0697002410889,0.222458004951477,r,99.0,1,0.0
14,2459890.033912,19.8276309967041,0.197166383266449,r,99.0,1,0.0
15,2459888.0289468,20.1093997955322,0.31172901391983,r,99.0,1,0.0
16,2459888.0314468,19.980899810791,0.323716014623642,r,99.0,1,0.0
17,2459888.0364468,20.1306991577148,0.344868004322052,r,99.0,1,0.0
18,2459890.0289815,20.2019004821777,0.244328007102013,r,99.0,1,0.0
19,2459890.0314468,20.0697002410889,0.222458004951477,r,99.0,1,0.0
20,2459890.033912,19.8276309967041,0.197166383266449,r,99.0,1,0.0
21,2459888.0289468,20.1093997955322,0.31172901391983,r,99.0,1,0.0
22,2459888.0364468,20.1306991577148,0.344868004322052,r,99.0,1,0.0
23,2459890.0289815,20.2019004821777,0.244328007102013,r,99.0,1,0.0
24,2459890.0314468,20.0697002410889,0.222458004951477,r,99.0,1,0.0
25,2459890.033912,19.8276309967041,0.197166383266449,r,99.0,1,0.0
26,2459888.0289468,20.1093997955322,0.31172901391983,r,99.0,1,0.0
27,2459890.0289815,20.2019004821777,0.244328007102013,r,99.0,1,0.0
28,2459890.0314468,20.0697002410889,0.222458004951477,r,99.0,1,0.0
29,2459890.033912,19.8276309967041,0.197166383266449,r,99.0,1,0.0
30,2459888.0289468,20.1093997955322,0.31172901391983,r,99.0,1,0.0
31,2459890.0314468,20.0697002410889,0.222458004951477,r,99.0,1,0.0
32,2459890.033912,19.8276309967041,0.197166383266449,r,99.0,1,0.0
33,2459888.0289468,20.1093997955322,0.31172901391983,r,99.0,1,0.0
34,2459890.033912,19.8276309967041,0.197166383266449,r,99.0,1,0.0
35,2459888.0289468,20.1093997955322,0.31172901391983,r,99.0,1,0.0
