,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459883.5922454,99.0,99.0,r,20.5049877586688,2.0,1.0
1,2459883.5952662,99.0,99.0,r,20.3649004178306,2.0,1.0
2,2459883.598287,99.0,99.0,r,20.3705586074038,2.0,1.0
3,2459883.6013079,99.0,99.0,r,20.2424380104494,2.0,1.0
4,2459883.6043403,99.0,99.0,r,20.1965241768024,2.0,1.0
5,2459885.5915972,99.0,99.0,r,20.0647083006433,2.0,1.0
6,2459885.5955324,99.0,99.0,r,20.1996907617098,2.0,1.0
7,2459885.5994444,99.0,99.0,r,19.6120188604567,2.0,1.0
8,2459885.6033681,99.0,99.0,r,20.1062707098949,2.0,1.0
9,2459885.6072917,99.0,99.0,r,20.1457255602057,2.0,1.0
10,2459887.5914236,99.0,99.0,r,20.0060225179813,2.0,1.0
11,2459887.5954051,99.0,99.0,r,19.6287767750106,2.0,1.0
12,2459887.5993981,99.0,99.0,r,19.284778801753,2.0,1.0
13,2459887.6033796,99.0,99.0,r,19.3766866026858,2.0,1.0
14,2459887.6073727,99.0,99.0,r,19.4117650436938,2.0,1.0
15,2459888.5895255,99.0,99.0,r,17.2074135771028,2.0,1.0
16,2459888.5935301,99.0,99.0,r,19.3676243223062,2.0,1.0
17,2459888.5975116,99.0,99.0,r,19.5456500761997,2.0,1.0
18,2459888.6015162,99.0,99.0,r,18.0106430742326,2.0,1.0
19,2459888.6054977,99.0,99.0,r,14.5408170643012,2.0,1.0
20,2459889.5894792,99.0,99.0,r,19.6051025560994,2.0,1.0
21,2459889.5934491,99.0,99.0,r,19.6779013281325,2.0,1.0
22,2459889.5974074,18.8131685609777,0.106474123245002,r,19.5869441685997,2.0,1.0
23,2459889.6013773,17.4317083807449,0.0325479566591487,r,19.4922848472925,2.0,1.0
24,2459890.5758681,99.0,99.0,r,19.4465875991825,2.0,1.0
25,2459890.5782639,99.0,99.0,r,19.5465514355564,2.0,1.0
26,2459890.5806597,19.2057415409409,0.114167477086715,r,19.9037713201135,2.0,1.0
27,2459890.583044,99.0,99.0,r,19.9392790621212,2.0,1.0
28,2459890.5854282,99.0,99.0,r,19.8939729457544,2.0,1.0
29,2459894.5736111,99.0,99.0,r,19.6833037284068,2.0,1.0
30,2459894.5758681,99.0,99.0,r,19.7954558746435,2.0,1.0
31,2459894.5783218,99.0,99.0,r,20.0699825497258,2.0,1.0
32,2459894.5807755,99.0,99.0,r,20.2321613432569,2.0,1.0
33,2459894.5832292,99.0,99.0,r,20.0812227090189,2.0,1.0
34,2459885.6072917,20.6196994781494,0.599106013774872,r,99.0,2.0,0.0
