,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459889.708206,99.0,99.0,r,20.1802564613974,2.0,1.0
1,2459889.7146644,99.0,99.0,g,20.3886641615548,2.0,1.0
2,2459889.8378009,99.0,99.0,r,19.3877215703461,2.0,1.0
3,2459890.6247801,99.0,99.0,i,19.9859539181235,2.0,1.0
4,2459894.6273958,20.5516614154117,0.221759441433156,r,20.5288419069186,2.0,1.0
5,2459894.6870139,99.0,99.0,g,20.3390396579266,2.0,1.0
6,2459894.735,19.9187064837593,0.208133054981092,g,19.964739625711,2.0,1.0
7,2459894.7698032,99.0,99.0,r,20.0634407676424,2.0,1.0
8,2459895.6347801,20.5243866000148,0.15436992244847,r,20.8948656741576,2.0,1.0
9,2459895.6560995,20.7814651610714,0.174205530925841,g,21.0206961014338,2.0,1.0
10,2459895.6835069,20.7395321263169,0.199899445973824,r,20.8293889392531,2.0,1.0
11,2459895.7410301,99.0,99.0,i,20.3490805322282,2.0,1.0
12,2459895.7802778,99.0,99.0,g,20.4186931759344,2.0,1.0
14,2459896.6635995,20.7332063140702,0.169030535936251,g,21.0051791820022,2.0,1.0
15,2459896.803669,99.0,99.0,r,19.9926178234054,2.0,1.0
16,2459894.610787,20.8054008483887,0.296164005994797,r,99.0,1.0,0.0
17,2459895.6347801,20.4428997039795,0.265006989240646,r,99.0,2.0,0.0
18,2459895.6347801,20.4428997039795,0.265006989240646,r,99.0,2.0,0.0
