,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459893.9138079,99.0,99.0,g,19.7770516349651,2.0,1.0
1,2459893.9498727,19.8370677141595,0.206314405134639,g,19.8926296231862,2.0,1.0
2,2459894.895787,99.0,99.0,g,19.5988865589191,2.0,1.0
3,2459895.8632292,99.0,99.0,g,17.9223991463126,2.0,1.0
4,2459895.8858796,20.2171900460694,0.268703785915177,r,19.9858913714365,2.0,1.0
5,2459896.8628588,99.0,99.0,i,19.2831262011875,2.0,1.0
8,2459889.9946875,20.0464992523193,0.249548003077507,g,99.0,1.0,0.0
9,2459893.9498727,19.8495006561279,0.327787011861801,g,99.0,2.0,0.0
10,2459895.8858796,20.0354995727539,0.326725006103516,r,99.0,2.0,0.0
11,2459895.9052199,20.150899887085,0.286798000335693,r,99.0,1.0,0.0
14,2459893.9498727,19.8495006561279,0.327787011861801,g,99.0,2.0,0.0
15,2459895.8858796,20.0354995727539,0.326725006103516,r,99.0,2.0,0.0
16,2459895.9052199,20.150899887085,0.286798000335693,r,99.0,1.0,0.0
19,2459895.8858796,20.0354995727539,0.326725006103516,r,99.0,2.0,0.0
20,2459895.9052199,20.150899887085,0.286798000335693,r,99.0,1.0,0.0
23,2459895.8858796,20.0354995727539,0.326725006103516,r,99.0,2.0,0.0
26,2459895.8858796,20.0354995727539,0.326725006103516,r,99.0,2.0,0.0
