,jd,mag,mag_unc,filter,limmag,programid,forced
1,2459895.8348843,99.0,99.0,i,20.0956482534116,2.0,1.0
2,2459895.8367708,99.0,99.0,i,20.0484452024,2.0,1.0
5,2459898.8542824,99.0,99.0,i,20.4953375786633,2.0,1.0
8,2459895.7998727,20.1081008911133,0.291824996471405,r,99.0,1.0,0.0
10,2459898.8091204,20.2327690124512,0.21042475104332,g,99.0,1.0,0.0
12,2459895.7998727,20.1081008911133,0.291824996471405,r,99.0,1.0,0.0
14,2459898.8091204,20.2327690124512,0.21042475104332,g,99.0,1.0,0.0
15,2459895.7998727,20.1081008911133,0.291824996471405,r,99.0,1.0,0.0
17,2459898.8091204,20.2327690124512,0.21042475104332,g,99.0,1.0,0.0
19,2459898.8091204,20.2327690124512,0.21042475104332,g,99.0,1.0,0.0
20,2459898.8091204,20.2327690124512,0.21042475104332,g,99.0,1.0,0.0
