,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459887.9548611,99.0,99.0,r,20.9174095510496,2.0,1.0
1,2459888.8257639,99.0,99.0,r,19.1906111365333,2.0,1.0
2,2459888.9494329,99.0,99.0,g,20.1786310064547,2.0,1.0
4,2459888.9922338,99.0,99.0,r,20.8455615754308,2.0,1.0
5,2459889.822963,99.0,99.0,r,20.0515122116482,2.0,1.0
6,2459889.9077546,99.0,99.0,g,20.1032131501606,2.0,1.0
7,2459889.9713657,99.0,99.0,r,20.544086798161,2.0,1.0
8,2459893.9527083,18.5177631328973,0.0642859392984894,g,19.8393589373001,2.0,1.0
9,2459894.8118866,18.779609663656,0.0768357829452173,r,19.9075866501792,2.0,1.0
10,2459894.8947569,18.5481524371744,0.0843964417234112,g,19.5742278849523,2.0,1.0
11,2459895.8056713,18.4396542627922,0.044041383203023,r,20.1718876759977,2.0,1.0
12,2459895.8218287,18.6435134779886,0.0605649599221957,g,20.0298456816527,2.0,1.0
13,2459895.8468171,18.5923331799231,0.058306287170769,i,20.0199305007983,2.0,1.0
14,2459896.7982176,18.5468623755069,0.0699817542078798,r,19.7762861031245,2.0,1.0
15,2459896.8809144,18.5479112344805,0.0923299018418772,g,19.4764410889418,2.0,1.0
17,2459897.8065856,18.4447130476433,0.0486886431684446,r,20.0680296567197,2.0,1.0
18,2459897.8465972,18.5864621407721,0.0642717535642455,r,19.9082975569007,2.0,1.0
19,2459897.9518634,18.4664482899808,0.0432425559209219,g,20.2185556897852,2.0,1.0
20,2459898.8054167,18.4445375145862,0.0451338473859052,g,20.1501674135261,2.0,1.0
21,2459898.863044,19.6474287074481,0.2552448205138,i,19.4719221514256,2.0,1.0
22,2459898.9056829,18.4462376183627,0.0255206684108248,r,20.7708932954846,2.0,1.0
23,2459898.9461227,18.4428646540309,0.0319687805536693,g,20.5229352669656,2.0,1.0
24,2459898.9762153,18.357838424024,0.0256217436668464,r,20.6782025081884,2.0,1.0
25,2459893.9527083,18.5342464447021,0.110694028437138,g,99.0,2.0,0.0
26,2459894.8118866,18.7194671630859,0.107421785593033,r,99.0,2.0,0.0
27,2459894.8947569,18.5564422607422,0.13304428756237,g,99.0,2.0,0.0
28,2459895.8208796,18.6251430511475,0.138882845640182,g,99.0,1.0,0.0
29,2459895.8218287,18.6058292388916,0.140630185604095,g,99.0,2.0,0.0
30,2459895.8468171,18.7221984863281,0.12734854221344,i,99.0,2.0,0.0
31,2459896.8809144,18.5694694519043,0.136962816119194,g,99.0,2.0,0.0
33,2459897.8065856,18.4458713531494,0.0959609374403954,r,99.0,2.0,0.0
34,2459897.8456481,18.5314998626709,0.113559946417809,r,99.0,1.0,0.0
35,2459897.8465972,18.5889301300049,0.137629255652428,r,99.0,2.0,0.0
36,2459897.9518634,18.4614925384521,0.0959376245737076,g,99.0,2.0,0.0
37,2459897.9680671,18.6608467102051,0.138698726892471,g,99.0,1.0,0.0
38,2459898.8054167,18.4579563140869,0.0965141430497169,g,99.0,2.0,0.0
39,2459898.9056829,18.4472560882568,0.0830158516764641,r,99.0,2.0,0.0
40,2459898.9461227,18.460844039917,0.0931795015931129,g,99.0,2.0,0.0
41,2459898.9762153,18.4040489196777,0.0801962241530418,r,99.0,2.0,0.0
42,2459893.9527083,18.5342464447021,0.110694028437138,g,99.0,2.0,0.0
43,2459894.8118866,18.7194671630859,0.107421785593033,r,99.0,2.0,0.0
44,2459894.8947569,18.5564422607422,0.13304428756237,g,99.0,2.0,0.0
45,2459895.8208796,18.6251430511475,0.138882845640182,g,99.0,1.0,0.0
46,2459895.8218287,18.6058292388916,0.140630185604095,g,99.0,2.0,0.0
47,2459895.8468171,18.7221984863281,0.12734854221344,i,99.0,2.0,0.0
49,2459897.8065856,18.4458713531494,0.0959609374403954,r,99.0,2.0,0.0
50,2459897.8456481,18.5314998626709,0.113559946417809,r,99.0,1.0,0.0
51,2459897.8465972,18.5889301300049,0.137629255652428,r,99.0,2.0,0.0
52,2459897.9518634,18.4614925384521,0.0959376245737076,g,99.0,2.0,0.0
53,2459897.9680671,18.6608467102051,0.138698726892471,g,99.0,1.0,0.0
54,2459898.8054167,18.4579563140869,0.0965141430497169,g,99.0,2.0,0.0
55,2459898.9056829,18.4472560882568,0.0830158516764641,r,99.0,2.0,0.0
56,2459898.9461227,18.460844039917,0.0931795015931129,g,99.0,2.0,0.0
57,2459898.9762153,18.4040489196777,0.0801962241530418,r,99.0,2.0,0.0
58,2459893.9527083,18.5342464447021,0.110694028437138,g,99.0,2.0,0.0
59,2459894.8118866,18.7194671630859,0.107421785593033,r,99.0,2.0,0.0
60,2459894.8947569,18.5564422607422,0.13304428756237,g,99.0,2.0,0.0
61,2459895.8208796,18.6251430511475,0.138882845640182,g,99.0,1.0,0.0
62,2459895.8218287,18.6058292388916,0.140630185604095,g,99.0,2.0,0.0
63,2459895.8468171,18.7221984863281,0.12734854221344,i,99.0,2.0,0.0
64,2459897.8065856,18.4458713531494,0.0959609374403954,r,99.0,2.0,0.0
65,2459897.8456481,18.5314998626709,0.113559946417809,r,99.0,1.0,0.0
66,2459897.8465972,18.5889301300049,0.137629255652428,r,99.0,2.0,0.0
67,2459897.9518634,18.4614925384521,0.0959376245737076,g,99.0,2.0,0.0
68,2459897.9680671,18.6608467102051,0.138698726892471,g,99.0,1.0,0.0
69,2459898.8054167,18.4579563140869,0.0965141430497169,g,99.0,2.0,0.0
70,2459898.9056829,18.4472560882568,0.0830158516764641,r,99.0,2.0,0.0
71,2459898.9461227,18.460844039917,0.0931795015931129,g,99.0,2.0,0.0
72,2459898.9762153,18.4040489196777,0.0801962241530418,r,99.0,2.0,0.0
