,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459894.9338079,99.0,99.0,g,20.2406071733869,2.0,1.0
1,2459894.9386458,20.2911172517981,0.219814269765179,r,20.2778633352396,2.0,1.0
2,2459896.9190741,20.4602175473188,0.128985529474171,r,21.0257508595385,2.0,1.0
3,2459896.9448611,20.1837804967315,0.0981128171339163,r,21.046351921121,2.0,1.0
4,2459898.00625,20.0442869962294,0.24129020808421,i,19.9298235404461,2.0,1.0
5,2459898.0095602,99.0,99.0,i,19.9865143056875,2.0,1.0
6,2459900.9284375,99.0,99.0,i,18.9026870966855,2.0,1.0
7,2459896.9190741,20.4325618743896,0.156985640525818,r,99.0,2.0,0.0
8,2459898.9523495,20.0052719116211,0.187677413225174,g,99.0,1.0,0.0
9,2459898.9782755,19.7588005065918,0.183663994073868,r,99.0,1.0,0.0
10,2459899.9271181,19.2408008575439,0.346336990594864,g,99.0,1.0,0.0
11,2459900.9940162,19.5869312286377,0.167511880397797,g,99.0,1.0,0.0
12,2459896.9190741,20.4325618743896,0.156985640525818,r,99.0,2.0,0.0
13,2459898.9523495,20.0052719116211,0.187677413225174,g,99.0,1.0,0.0
14,2459899.9271181,19.2408008575439,0.346336990594864,g,99.0,1.0,0.0
15,2459900.9940162,19.5869312286377,0.167511880397797,g,99.0,1.0,0.0
16,2459898.9523495,20.0052719116211,0.187677413225174,g,99.0,1.0,0.0
17,2459899.9271181,19.2408008575439,0.346336990594864,g,99.0,1.0,0.0
18,2459900.9940162,19.5869312286377,0.167511880397797,g,99.0,1.0,0.0
19,2459899.9271181,19.2408008575439,0.346336990594864,g,99.0,1.0,0.0
20,2459900.9940162,19.5869312286377,0.167511880397797,g,99.0,1.0,0.0
21,2459900.9940162,19.5869312286377,0.167511880397797,g,99.0,1.0,0.0
