,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459894.6060301,20.5663895550876,0.170205386388945,r,20.8308420946139,2.0,1.0
1,2459894.6712847,99.0,99.0,g,20.4275016127926,2.0,1.0
16,2459894.7359491,99.0,99.0,g,19.5903518929269,2.0,1.0
17,2459894.7854167,99.0,99.0,r,19.4498972897231,2.0,1.0
18,2459895.6357176,20.6753759455633,0.145378608370781,r,21.1110104664558,2.0,1.0
19,2459895.655162,20.499035466124,0.178910583892809,g,20.7093311725186,2.0,1.0
20,2459895.7419676,20.3142845356229,0.230000068290226,i,20.2518504123,2.0,1.0
21,2459895.7793287,99.0,99.0,g,19.7951149546212,2.0,1.0
22,2459897.6620139,20.6524012221457,0.155734111279333,g,21.0133276391323,2.0,1.0
23,2459897.6797685,20.6982262976099,0.228619694881326,r,20.6423279847,2.0,1.0
24,2459897.726169,99.0,99.0,r,20.3868933849908,2.0,1.0
25,2459898.6233449,20.440468233955,0.0944832237712828,g,21.343967265539,2.0,1.0
26,2459898.6330093,20.8853395583316,0.233239117070025,i,20.8077218756125,2.0,1.0
27,2459898.6523958,20.5255315747226,0.146030811305352,g,20.9563061187341,2.0,1.0
28,2459898.7428241,20.5917943300095,0.22187767847416,r,20.5683960861787,2.0,1.0
29,2459899.6237269,20.6177939853019,0.225773207823709,r,20.5754987655038,2.0,1.0
30,2459899.6287037,20.8309806313801,0.225043388850514,g,20.7922007727297,2.0,1.0
31,2459899.6593056,20.4657711290413,0.182230119229652,g,20.6561065198253,2.0,1.0
32,2459899.6858565,99.0,99.0,r,19.6672135611104,2.0,1.0
33,2459900.6241551,20.441574003695,0.194333645408519,r,20.562089799132,2.0,1.0
34,2459900.6995486,99.0,99.0,g,19.4692424261986,2.0,1.0
35,2459900.7206597,99.0,99.0,r,19.8213100002584,2.0,1.0
36,2459901.6121296,99.0,99.0,g,20.2156529277824,2.0,1.0
37,2459901.6648032,20.1476192531701,0.232935122024306,r,20.0714176009662,2.0,1.0
38,2459901.6950463,99.0,99.0,r,18.2922252415216,2.0,1.0
39,2459896.6241898,20.5821990966797,0.250243008136749,r,99.0,1.0,0.0
40,2459896.6755787,20.4437999725342,0.284209012985229,g,99.0,1.0,0.0
41,2459898.6233449,20.4309253692627,0.188888341188431,g,99.0,2.0,0.0
42,2459898.6242824,20.5265960693359,0.178508669137955,g,99.0,1.0,0.0
43,2459896.6241898,20.5821990966797,0.250243008136749,r,99.0,1.0,0.0
44,2459896.6755787,20.4437999725342,0.284209012985229,g,99.0,1.0,0.0
45,2459898.6242824,20.5265960693359,0.178508669137955,g,99.0,1.0,0.0
46,2459896.6241898,20.5821990966797,0.250243008136749,r,99.0,1.0,0.0
47,2459898.6242824,20.5265960693359,0.178508669137955,g,99.0,1.0,0.0
48,2459896.6241898,20.5821990966797,0.250243008136749,r,99.0,1.0,0.0
