,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459896.6635995,21.0287259432408,0.200659341463863,g,21.114463275786,2.0,1.0
1,2459896.803669,99.0,99.0,r,20.2876205952068,2.0,1.0
2,2459897.6216204,99.0,99.0,i,20.0479602138207,2.0,1.0
3,2459897.6610648,99.0,99.0,g,21.1570298814239,2.0,1.0
4,2459897.6807176,21.0282835042925,0.257995713740739,r,20.8411380664042,2.0,1.0
5,2459897.778831,99.0,99.0,r,20.6566851686597,2.0,1.0
6,2459898.6339583,99.0,99.0,i,20.8295254788661,2.0,1.0
7,2459898.6547685,21.4676201224259,0.250920908407303,g,21.3106637836634,2.0,1.0
23,2459898.7042593,99.0,99.0,g,21.0532751392278,2.0,1.0
24,2459898.8185648,99.0,99.0,r,20.1953243339696,2.0,1.0
25,2459899.6251505,99.0,99.0,r,20.6676781869583,2.0,1.0
26,2459899.6583565,99.0,99.0,g,20.8569121590999,2.0,1.0
27,2459899.6844444,99.0,99.0,r,19.8848326437076,2.0,1.0
28,2459900.7201852,99.0,99.0,r,20.10822538766,2.0,1.0
29,2459901.6111806,99.0,99.0,g,20.8239535696139,2.0,1.0
30,2459901.6440394,99.0,99.0,r,20.6194035301382,2.0,1.0
31,2459901.6959838,99.0,99.0,r,19.1095113624328,2.0,1.0
32,2459902.6254051,99.0,99.0,r,20.6816790884859,2.0,1.0
33,2459902.6564815,99.0,99.0,r,20.8827880381534,2.0,1.0
34,2459902.6747338,99.0,99.0,g,20.9862585232082,2.0,1.0
35,2459902.8053588,99.0,99.0,g,19.6319761723243,2.0,1.0
36,2459903.6239931,99.0,99.0,i,20.4089967928917,2.0,1.0
38,2459903.6547569,99.0,99.0,r,21.0126516172963,2.0,1.0
39,2459903.6744329,99.0,99.0,g,20.9450266164185,2.0,1.0
40,2459903.7258565,99.0,99.0,g,20.8758274143109,2.0,1.0
41,2459903.7891551,99.0,99.0,r,20.1382839700559,2.0,1.0
43,2459896.6635995,21.0046997070312,0.404538989067078,g,99.0,2.0,0.0
