,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459897.8065856,99.0,99.0,r,20.0887480675184,2.0,1.0
1,2459897.8465972,99.0,99.0,r,19.9043920867706,2.0,1.0
2,2459897.9518634,20.4613783305448,0.250899144952562,g,20.3045161664595,2.0,1.0
3,2459898.8054167,99.0,99.0,g,20.1872328450927,2.0,1.0
4,2459898.863044,99.0,99.0,i,20.099116221527,2.0,1.0
5,2459898.9056829,20.879041245396,0.212382819940504,r,20.9031285772257,2.0,1.0
6,2459898.9461227,21.0005519974886,0.230683483465495,g,20.9348965343104,2.0,1.0
7,2459898.9762153,20.5496255936102,0.13528733818988,r,21.0633685026559,2.0,1.0
8,2459899.859456,99.0,99.0,r,19.4979335632551,2.0,1.0
9,2459899.9685532,99.0,99.0,r,19.6638809716385,2.0,1.0
10,2459899.9918866,99.0,99.0,g,19.8702893002204,2.0,1.0
11,2459900.8246296,99.0,99.0,g,19.7571149377512,2.0,1.0
12,2459900.8590972,99.0,99.0,r,20.0590552061824,2.0,1.0
13,2459900.9672222,99.0,99.0,g,15.1705763996711,2.0,1.0
15,2459901.0108565,20.4887757944535,0.170063280286603,r,20.7541352041346,2.0,1.0
16,2459901.8289699,99.0,99.0,i,20.4839100419152,2.0,1.0
17,2459901.8698264,19.9648376472031,0.190312024942307,r,20.1080578607281,2.0,1.0
18,2459902.0137847,20.8695228814275,0.159259000842431,g,21.2061487037031,2.0,1.0
19,2459902.0282986,20.3723577918317,0.104894342519551,r,21.1623634180845,2.0,1.0
20,2459902.8698495,20.5575519868636,0.206603732418749,r,20.6115923683514,2.0,1.0
21,2459902.9100231,20.5644869578126,0.156412696567244,g,20.9206927385009,2.0,1.0
22,2459902.9477662,20.6312565211275,0.223381275426338,g,20.6005253945349,2.0,1.0
23,2459902.9528125,99.0,99.0,g,15.8635648282006,2.0,1.0
25,2459903.0141667,20.2390633545577,0.254436923583336,r,20.0669988040295,2.0,1.0
26,2459903.7960648,20.179573851335,0.133591904341763,r,20.7070092886074,2.0,1.0
27,2459903.8434028,20.3260577810827,0.132737302075935,r,20.8604611045873,2.0,1.0
28,2459903.8671065,20.407998087424,0.125793726668937,g,21.0007364180387,2.0,1.0
29,2459903.8850231,20.4484594995013,0.146785657841719,g,20.8736362297598,2.0,1.0
32,2459898.9762153,20.6788997650146,0.291509002447128,r,99.0,2.0,0.0
33,2459901.0108565,20.3962001800537,0.286035001277924,r,99.0,2.0,0.0
34,2459901.9936227,20.4183521270752,0.208810195326805,r,99.0,1.0,0.0
35,2459902.8698495,20.4044990539551,0.333427011966705,r,99.0,2.0,0.0
36,2459902.9477662,20.4923000335693,0.372310996055603,g,99.0,2.0,0.0
37,2459903.7960648,20.1439990997314,0.2673160135746,r,99.0,2.0,0.0
38,2459903.8671065,20.3437995910645,0.208614006638527,g,99.0,2.0,0.0
39,2459903.8850231,20.4601993560791,0.378226011991501,g,99.0,2.0,0.0
40,2459903.8873958,20.2912998199463,0.2464389950037,g,99.0,1.0,0.0
42,2459903.9471644,20.4801197052002,0.184468641877174,r,99.0,1.0,0.0
