,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459898.889294,19.7487125261792,0.0614544819043509,r,21.1192144110733,2.0,1.0
2,2459899.7582176,20.0065668753183,0.129140327763941,g,20.5707979535845,2.0,1.0
4,2459899.8328241,19.8383186452157,0.227387692748075,r,19.788287046799,2.0,1.0
5,2459900.8438426,20.4912294887278,0.242226607121152,g,20.3725606627253,2.0,1.0
7,2459901.7916435,19.5671842854544,0.0528276495570688,r,21.1019168540514,2.0,1.0
9,2459902.747419,20.041203183736,0.189976027280734,i,20.186341968821,2.0,1.0
10,2459903.8101389,19.7013495513762,0.0697380645491563,r,20.9345606150474,2.0,1.0
12,2459898.889294,19.7770805358887,0.158797562122345,r,99.0,2.0,0.0
14,2459899.7582176,19.902645111084,0.184860602021217,g,99.0,2.0,0.0
16,2459901.7916435,19.638370513916,0.131823614239693,r,99.0,2.0,0.0
18,2459903.8101389,19.7208099365234,0.140493422746658,r,99.0,2.0,0.0
19,2459898.889294,19.7770805358887,0.158797562122345,r,99.0,2.0,0.0
20,2459899.7582176,19.902645111084,0.184860602021217,g,99.0,2.0,0.0
22,2459901.7916435,19.638370513916,0.131823614239693,r,99.0,2.0,0.0
24,2459903.8101389,19.7208099365234,0.140493422746658,r,99.0,2.0,0.0
25,2459898.889294,19.7770805358887,0.158797562122345,r,99.0,2.0,0.0
26,2459899.7582176,19.902645111084,0.184860602021217,g,99.0,2.0,0.0
27,2459901.7916435,19.638370513916,0.131823614239693,r,99.0,2.0,0.0
29,2459903.8101389,19.7208099365234,0.140493422746658,r,99.0,2.0,0.0
30,2459898.889294,19.7770805358887,0.158797562122345,r,99.0,2.0,0.0
31,2459899.7582176,19.902645111084,0.184860602021217,g,99.0,2.0,0.0
32,2459901.7916435,19.638370513916,0.131823614239693,r,99.0,2.0,0.0
33,2459903.8101389,19.7208099365234,0.140493422746658,r,99.0,2.0,0.0
34,2459899.7582176,19.902645111084,0.184860602021217,g,99.0,2.0,0.0
35,2459901.7916435,19.638370513916,0.131823614239693,r,99.0,2.0,0.0
36,2459903.8101389,19.7208099365234,0.140493422746658,r,99.0,2.0,0.0
37,2459901.7916435,19.638370513916,0.131823614239693,r,99.0,2.0,0.0
38,2459903.8101389,19.7208099365234,0.140493422746658,r,99.0,2.0,0.0
39,2459903.8101389,19.7208099365234,0.140493422746658,r,99.0,2.0,0.0
