,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459896.7931829,99.0,99.0,r,20.5472238172886,2.0,1.0
1,2459896.8276157,99.0,99.0,r,20.1364663632125,2.0,1.0
2,2459896.8566088,99.0,99.0,i,19.7104007419118,2.0,1.0
3,2459896.893831,99.0,99.0,g,19.7367967575051,2.0,1.0
4,2459897.7365046,99.0,99.0,g,20.5554596543689,2.0,1.0
5,2459897.7522338,99.0,99.0,g,20.5368998922165,2.0,1.0
6,2459897.7885069,99.0,99.0,r,20.6308794106379,2.0,1.0
7,2459897.8217014,99.0,99.0,r,20.3345376321938,2.0,1.0
8,2459898.6989815,99.0,99.0,g,20.427743631887,2.0,1.0
9,2459898.7959722,99.0,99.0,g,20.043830404526,2.0,1.0
10,2459898.815463,99.0,99.0,r,20.5866776627009,2.0,1.0
11,2459899.7527662,99.0,99.0,g,20.2179843831302,2.0,1.0
12,2459899.7968981,18.9803340570041,0.123000210124849,r,19.5974552127006,2.0,1.0
13,2459900.7455787,99.0,99.0,r,19.3424823670493,2.0,1.0
14,2459900.7878588,99.0,99.0,g,19.6494773419561,2.0,1.0
15,2459900.7946759,99.0,99.0,g,19.709262894589,2.0,1.0
16,2459901.7526389,20.022360699849,0.0880436729932065,r,21.0025011087064,2.0,1.0
17,2459901.7970486,20.195538196148,0.115028253133964,g,20.8854126740693,2.0,1.0
18,2459901.854456,20.5350776158094,0.175365537746892,g,20.7671027766369,2.0,1.0
19,2459901.9052199,20.2733776574928,0.139096653940535,r,20.7569717393726,2.0,1.0
20,2459902.7704977,19.9416767361642,0.153435513203273,r,20.3187477995738,2.0,1.0
21,2459902.7729514,19.9180600006464,0.143645023699791,g,20.3667193264685,2.0,1.0
22,2459902.8155787,19.6800992373841,0.206204369216721,g,19.7362403684495,2.0,1.0
23,2459902.8627315,19.7780262184922,0.159651454907559,r,20.1119798060096,2.0,1.0
24,2459903.7326852,19.7611211033803,0.0953896515362723,g,20.654253736751,2.0,1.0
25,2459903.7326852,19.825532913208,0.211331874132156,g,99.0,2.0,0.0
