,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459897.8061227,99.0,99.0,r,20.1840284477326,2.0,1.0
1,2459897.8672569,99.0,99.0,r,20.0108137105746,2.0,1.0
2,2459897.952338,99.0,99.0,g,20.2758054122271,2.0,1.0
3,2459898.8058796,20.3810364322767,0.21554206755698,g,20.3890921102435,2.0,1.0
4,2459898.8663889,99.0,99.0,i,20.3545736010802,2.0,1.0
5,2459898.8789468,99.0,99.0,r,20.5964945491628,2.0,1.0
6,2459898.9465972,20.8304003852417,0.232634400066036,g,20.7556013367202,2.0,1.0
7,2459898.9766898,20.3216193214749,0.132441545147496,r,20.8584445134017,2.0,1.0
8,2459899.9304514,99.0,99.0,g,19.8734384954926,2.0,1.0
9,2459899.9491204,99.0,99.0,r,19.5483514913965,2.0,1.0
10,2459899.9923495,99.0,99.0,g,19.7737723217684,2.0,1.0
11,2459900.8284838,99.0,99.0,g,19.7570696026315,2.0,1.0
12,2459900.8819792,19.9524805292507,0.228012100734875,r,19.8994715786597,2.0,1.0
13,2459901.011331,99.0,99.0,r,20.4430465706266,2.0,1.0
14,2459901.7783681,99.0,99.0,r,20.2094434760209,2.0,1.0
15,2459901.8265625,99.0,99.0,i,20.1164199819108,2.0,1.0
16,2459901.8829745,99.0,99.0,g,18.4190648897782,2.0,1.0
17,2459901.9926736,20.43658137542,0.160115721651396,r,20.7673822217957,2.0,1.0
18,2459902.0142593,20.491160009528,0.121884105540622,g,21.1181781122205,2.0,1.0
19,2459902.8708912,20.5988786425583,0.242596913329965,r,20.4785512545473,2.0,1.0
20,2459902.9085301,99.0,99.0,g,20.4361255543268,2.0,1.0
21,2459902.9482292,20.3268787829885,0.210842898221535,g,20.3588671287186,2.0,1.0
22,2459903.0146412,99.0,99.0,r,19.957843264509,2.0,1.0
23,2459903.8303819,99.0,99.0,r,20.6127543889064,2.0,1.0
24,2459903.8438657,20.4099886104473,0.147629639862593,r,20.8289404987671,2.0,1.0
25,2459903.8666319,20.677324715825,0.19698772160185,g,20.7831126121869,2.0,1.0
26,2459903.8845602,20.657060778906,0.183462936254554,g,20.8400757181342,2.0,1.0
28,2459901.9252778,20.5121002197266,0.356256008148193,g,99.0,1.0,0.0
29,2459902.0142593,20.3899993896484,0.23217000067234,g,99.0,2.0,0.0
30,2459902.9482292,20.2117004394531,0.293161004781723,g,99.0,2.0,0.0
31,2459903.867581,20.3589000701904,0.217783004045486,g,99.0,1.0,0.0
32,2459903.8845602,20.5653991699219,0.243588000535965,g,99.0,2.0,0.0
33,2459903.9350579,20.0547313690186,0.205675378441811,r,99.0,1.0,0.0
35,2459901.9252778,20.5121002197266,0.356256008148193,g,99.0,1.0,0.0
36,2459902.0142593,20.3899993896484,0.23217000067234,g,99.0,2.0,0.0
37,2459902.9482292,20.2117004394531,0.293161004781723,g,99.0,2.0,0.0
38,2459903.867581,20.3589000701904,0.217783004045486,g,99.0,1.0,0.0
39,2459903.9350579,20.0547313690186,0.205675378441811,r,99.0,1.0,0.0
41,2459901.9252778,20.5121002197266,0.356256008148193,g,99.0,1.0,0.0
42,2459902.0142593,20.3899993896484,0.23217000067234,g,99.0,2.0,0.0
43,2459902.9482292,20.2117004394531,0.293161004781723,g,99.0,2.0,0.0
44,2459903.867581,20.3589000701904,0.217783004045486,g,99.0,1.0,0.0
46,2459901.9252778,20.5121002197266,0.356256008148193,g,99.0,1.0,0.0
47,2459902.0142593,20.3899993896484,0.23217000067234,g,99.0,2.0,0.0
48,2459902.9482292,20.2117004394531,0.293161004781723,g,99.0,2.0,0.0
49,2459903.867581,20.3589000701904,0.217783004045486,g,99.0,1.0,0.0
50,2459901.9252778,20.5121002197266,0.356256008148193,g,99.0,1.0,0.0
51,2459902.9482292,20.2117004394531,0.293161004781723,g,99.0,2.0,0.0
52,2459903.867581,20.3589000701904,0.217783004045486,g,99.0,1.0,0.0
53,2459902.9482292,20.2117004394531,0.293161004781723,g,99.0,2.0,0.0
54,2459903.867581,20.3589000701904,0.217783004045486,g,99.0,1.0,0.0
55,2459903.867581,20.3589000701904,0.217783004045486,g,99.0,1.0,0.0
