,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459898.9041782,99.0,99.0,r,20.842991776206,2.0,1.0
1,2459898.9490046,99.0,99.0,g,20.5841592193787,2.0,1.0
2,2459899.0245023,99.0,99.0,r,20.6250198729,2.0,1.0
3,2459900.9298611,99.0,99.0,i,19.2770163536943,2.0,1.0
4,2459900.9308102,99.0,99.0,i,19.3105871922836,2.0,1.0
5,2459900.9762384,20.7160369596551,0.268019337398736,g,20.4875074257771,2.0,1.0
7,2459902.9508796,19.9232310048904,0.147748703743376,g,20.3413075956411,2.0,1.0
9,2459903.9107176,20.3582148530739,0.227294548160178,i,20.3086280947836,2.0,1.0
10,2459903.9116551,99.0,99.0,i,20.1130192599762,2.0,1.0
12,2459902.0166667,20.2567520141602,0.18029360473156,g,99.0,1.0,0.0
13,2459902.0180787,20.4057331085205,0.196099743247032,g,99.0,1.0,0.0
14,2459902.9508796,19.9057998657227,0.217285007238388,g,99.0,2.0,0.0
16,2459903.8699884,20.3927001953125,0.269544988870621,g,99.0,1.0,0.0
17,2459903.8802778,20.2737007141113,0.275855004787445,g,99.0,1.0,0.0
18,2459903.9728819,20.4097995758057,0.220020994544029,r,99.0,1.0,0.0
19,2459902.0166667,20.2567520141602,0.18029360473156,g,99.0,1.0,0.0
20,2459902.0180787,20.4057331085205,0.196099743247032,g,99.0,1.0,0.0
21,2459902.9508796,19.9057998657227,0.217285007238388,g,99.0,2.0,0.0
23,2459903.8699884,20.3927001953125,0.269544988870621,g,99.0,1.0,0.0
24,2459903.9728819,20.4097995758057,0.220020994544029,r,99.0,1.0,0.0
25,2459902.0166667,20.2567520141602,0.18029360473156,g,99.0,1.0,0.0
26,2459902.0180787,20.4057331085205,0.196099743247032,g,99.0,1.0,0.0
27,2459902.9508796,19.9057998657227,0.217285007238388,g,99.0,2.0,0.0
29,2459903.8699884,20.3927001953125,0.269544988870621,g,99.0,1.0,0.0
30,2459902.0166667,20.2567520141602,0.18029360473156,g,99.0,1.0,0.0
31,2459902.0180787,20.4057331085205,0.196099743247032,g,99.0,1.0,0.0
32,2459902.9508796,19.9057998657227,0.217285007238388,g,99.0,2.0,0.0
33,2459903.8699884,20.3927001953125,0.269544988870621,g,99.0,1.0,0.0
34,2459902.0180787,20.4057331085205,0.196099743247032,g,99.0,1.0,0.0
35,2459902.9508796,19.9057998657227,0.217285007238388,g,99.0,2.0,0.0
36,2459903.8699884,20.3927001953125,0.269544988870621,g,99.0,1.0,0.0
37,2459902.9508796,19.9057998657227,0.217285007238388,g,99.0,2.0,0.0
38,2459903.8699884,20.3927001953125,0.269544988870621,g,99.0,1.0,0.0
39,2459903.8699884,20.3927001953125,0.269544988870621,g,99.0,1.0,0.0
