,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459897.8485069,99.0,99.0,r,20.0635557028873,2.0,1.0
1,2459897.8682407,99.0,99.0,r,20.0827852393185,2.0,1.0
2,2459897.9549306,99.0,99.0,g,20.486593370584,2.0,1.0
3,2459897.9996065,99.0,99.0,g,20.5448590245483,2.0,1.0
4,2459898.8663889,99.0,99.0,i,19.3148604904177,2.0,1.0
5,2459898.9046644,20.8965292776462,0.212642065854102,r,20.9192921095764,2.0,1.0
6,2459898.9337963,99.0,99.0,g,20.7644101930134,2.0,1.0
7,2459898.9471181,99.0,99.0,g,20.5996066697784,2.0,1.0
8,2459899.025463,99.0,99.0,r,20.8460823486111,2.0,1.0
9,2459901.8265625,99.0,99.0,i,19.9518759309473,2.0,1.0
10,2459901.8471412,99.0,99.0,g,21.0629103526393,2.0,1.0
11,2459901.8684144,99.0,99.0,r,19.5547499505482,2.0,1.0
12,2459902.0147685,99.0,99.0,g,21.087405987163,2.0,1.0
13,2459902.0273264,21.038291331782,0.23090935492832,r,20.9715733007995,2.0,1.0
14,2459902.8703704,20.3157308391429,0.210853544209514,r,20.3476643647065,2.0,1.0
15,2459902.9094907,20.8144336612582,0.256454208035027,g,20.6337948763705,2.0,1.0
16,2459902.9492245,99.0,99.0,g,20.3720923615702,2.0,1.0
17,2459903.0156019,20.3702583912347,0.261426157954177,r,20.1687715794566,2.0,1.0
19,2459904.8653356,99.0,99.0,i,19.8870915919914,2.0,1.0
20,2459902.8703704,20.2856006622314,0.352360993623734,r,99.0,2.0,0.0
21,2459903.8443403,20.6637992858887,0.389268010854721,r,99.0,1.0,0.0
22,2459903.9476852,20.4624996185303,0.235228002071381,r,99.0,1.0,0.0
23,2459902.8703704,20.2856006622314,0.352360993623734,r,99.0,2.0,0.0
24,2459903.8443403,20.6637992858887,0.389268010854721,r,99.0,1.0,0.0
25,2459903.8443403,20.6637992858887,0.389268010854721,r,99.0,1.0,0.0
