,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459897.9972454,99.0,99.0,g,20.4466781580983,2.0,1.0
1,2459898.8049421,99.0,99.0,g,19.5426249473616,2.0,1.0
2,2459898.8255208,99.0,99.0,r,20.3288043617125,2.0,1.0
3,2459898.8635185,99.0,99.0,i,19.8806143275812,2.0,1.0
4,2459898.9447106,99.0,99.0,g,20.5869431367667,2.0,1.0
5,2459898.9798843,99.0,99.0,r,20.9936719144678,2.0,1.0
6,2459899.9030787,99.0,99.0,g,19.809580489331,2.0,1.0
7,2459899.969537,99.0,99.0,r,19.8268368979591,2.0,1.0
8,2459899.9909375,99.0,99.0,g,20.1003357579596,2.0,1.0
9,2459900.8251042,99.0,99.0,g,19.8099025167865,2.0,1.0
10,2459900.9042361,99.0,99.0,r,19.7738838718172,2.0,1.0
11,2459900.970081,99.0,99.0,g,20.1815392738273,2.0,1.0
13,2459901.0094444,99.0,99.0,r,20.4498159301322,2.0,1.0
14,2459901.8844097,99.0,99.0,g,18.2821090151531,2.0,1.0
15,2459901.9474421,21.2371947416757,0.248042225332013,r,21.092766483261,2.0,1.0
16,2459902.0128356,21.0198900508485,0.212097399838453,g,21.0454374789117,2.0,1.0
17,2459902.0278356,21.2752343942553,0.267761557558386,r,21.0477496192695,2.0,1.0
18,2459902.8435648,99.0,99.0,i,19.5541800634004,2.0,1.0
19,2459902.8826389,99.0,99.0,r,20.1776162671083,2.0,1.0
20,2459902.9109606,99.0,99.0,g,20.8602081164337,2.0,1.0
21,2459902.9468171,99.0,99.0,g,20.7636219215918,2.0,1.0
22,2459902.9546991,99.0,99.0,g,20.5438859536253,2.0,1.0
24,2459903.0132176,99.0,99.0,r,20.6233983820701,2.0,1.0
25,2459903.8429282,99.0,99.0,r,20.6671690947536,2.0,1.0
26,2459903.8728125,99.0,99.0,g,20.9344541838979,2.0,1.0
27,2459903.8878704,21.1536220774589,0.238365991885018,g,21.0523971318142,2.0,1.0
28,2459903.9275347,20.9045995795357,0.179522947875849,r,21.1111854410926,2.0,1.0
29,2459904.9038194,99.0,99.0,g,20.9084603290938,2.0,1.0
30,2459904.9250926,99.0,99.0,g,21.10988475173,2.0,1.0
31,2459904.9560417,21.2420490196355,0.258451187494628,r,21.0529884788704,2.0,1.0
32,2459904.9883796,21.2861869957472,0.250502141213616,r,21.1310441787587,2.0,1.0
34,2459903.9275347,20.8355007171631,0.301230013370514,r,99.0,2.0,0.0
