,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459899.5851157,99.0,99.0,r,20.2408766379835,2.0,1.0
1,2459899.5889815,99.0,99.0,r,19.9417883647129,2.0,1.0
2,2459899.5965278,99.0,99.0,r,20.1274165341713,2.0,1.0
3,2459899.6004051,99.0,99.0,r,20.0837249570259,2.0,1.0
4,2459900.5838079,99.0,99.0,r,19.8137965687375,2.0,1.0
5,2459900.5876968,99.0,99.0,r,19.8663799643341,2.0,1.0
6,2459900.5915856,99.0,99.0,r,19.9227365393611,2.0,1.0
7,2459900.5954977,99.0,99.0,r,19.412912429672,2.0,1.0
8,2459900.5993866,99.0,99.0,r,19.6129987620359,2.0,1.0
9,2459901.5834954,99.0,99.0,r,16.8192205895444,2.0,1.0
10,2459901.5873843,99.0,99.0,r,17.0482075169755,2.0,1.0
11,2459901.5912731,99.0,99.0,r,17.8947641098666,2.0,1.0
12,2459901.5951736,99.0,99.0,r,18.2644746260877,2.0,1.0
13,2459902.5854977,99.0,99.0,r,20.8738177895524,2.0,1.0
14,2459902.5894444,99.0,99.0,r,20.6552383465305,2.0,1.0
15,2459902.5933796,99.0,99.0,r,20.6246078837295,2.0,1.0
16,2459902.5973032,99.0,99.0,r,20.3245322361116,2.0,1.0
17,2459902.6012269,99.0,99.0,r,20.1995219594822,2.0,1.0
18,2459903.5829282,17.3575065397513,0.0184300674628558,r,20.0355750164743,2.0,1.0
19,2459903.5868056,17.3405013055742,0.0204945364667223,r,19.9032918442945,2.0,1.0
20,2459903.5906944,17.3644359849682,0.0188649862898069,r,20.0171805392793,2.0,1.0
21,2459903.5945718,17.3257553563323,0.0254776879028918,r,19.6522411122247,2.0,1.0
22,2459903.5984606,17.2972521867686,0.0206304031355788,r,19.8528686895133,2.0,1.0
23,2459904.5827199,16.5949275749929,0.0079479044481379,r,20.1861817709264,2.0,1.0
24,2459904.5865972,16.4768863029621,0.00745122163315488,r,20.1382033883559,2.0,1.0
25,2459904.5904861,16.6799418600973,0.00805711284316368,r,20.2563790337921,2.0,1.0
26,2459904.594375,16.6025557329755,0.00778847647961187,r,20.2158102402755,2.0,1.0
27,2459904.5982523,16.478775263623,0.00735696541754997,r,20.1539142662518,2.0,1.0
28,2459905.5825,16.8710985479349,0.0324037900117879,r,18.9364948142147,2.0,1.0
29,2459905.5863889,99.0,99.0,r,16.6691962365769,2.0,1.0
30,2459905.5902778,17.0440675066183,0.0629799485981349,r,18.387947541095,2.0,1.0
31,2459905.5941551,17.0925869329848,0.0244326364631643,r,19.4645468893106,2.0,1.0
32,2459905.5980208,16.9553823806312,0.00876294919532935,r,20.4406424352094,2.0,1.0
33,2459903.5829282,17.3637161254883,0.0522016473114491,r,99.0,2.0,0.0
34,2459903.5868056,17.3477783203125,0.0599552281200886,r,99.0,2.0,0.0
35,2459903.5906944,17.3740062713623,0.0516509599983692,r,99.0,2.0,0.0
36,2459903.5945718,17.3518981933594,0.0790377929806709,r,99.0,2.0,0.0
37,2459903.5984606,17.3077335357666,0.0677676871418953,r,99.0,2.0,0.0
38,2459904.5865972,16.4836292266846,0.0279337894171476,r,99.0,2.0,0.0
39,2459904.5904861,16.6713848114014,0.0348265431821346,r,99.0,2.0,0.0
40,2459904.594375,16.6055068969727,0.0488921962678432,r,99.0,2.0,0.0
41,2459904.5982523,16.4821128845215,0.032808605581522,r,99.0,2.0,0.0
42,2459905.5825,16.8763542175293,0.0537898205220699,r,99.0,2.0,0.0
43,2459905.5980208,16.9681606292725,0.0339669920504093,r,99.0,2.0,0.0
