,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459897.8061227,99.0,99.0,r,20.3168094911739,2.0,1.0
1,2459897.8672569,99.0,99.0,r,20.3812435591744,2.0,1.0
2,2459897.952338,99.0,99.0,g,20.3640236268715,2.0,1.0
3,2459898.8058796,99.0,99.0,g,20.574654883076,2.0,1.0
4,2459898.8789468,99.0,99.0,r,20.9602550854372,2.0,1.0
5,2459898.9465972,99.0,99.0,g,21.0298526919006,2.0,1.0
6,2459898.9766898,99.0,99.0,r,21.11049525941,2.0,1.0
7,2459899.9304514,99.0,99.0,g,19.8980577347365,2.0,1.0
8,2459899.9491204,99.0,99.0,r,19.6841105515835,2.0,1.0
9,2459899.9923495,99.0,99.0,g,20.029658014537,2.0,1.0
10,2459900.8284838,99.0,99.0,g,19.9449540505572,2.0,1.0
11,2459900.8819792,99.0,99.0,r,20.0185548799795,2.0,1.0
12,2459900.9790741,99.0,99.0,g,20.4815450532186,2.0,1.0
14,2459901.011331,99.0,99.0,r,20.7263255303233,2.0,1.0
15,2459901.7783681,20.553531217974,0.195090565359707,r,20.6698263388494,2.0,1.0
16,2459901.8829745,99.0,99.0,g,18.2960674678437,2.0,1.0
17,2459901.9926736,21.2913195062311,0.224922889294135,r,21.2531211610874,2.0,1.0
18,2459902.0142593,20.7146439291032,0.122349938612159,g,21.3375203287321,2.0,1.0
19,2459902.8708912,20.6970964313376,0.229195722261683,r,20.6384659513211,2.0,1.0
20,2459902.9085301,20.5623430775521,0.182692776963473,g,20.7499254236442,2.0,1.0
21,2459902.9482292,20.25230487021,0.171231134830521,g,20.5102338218876,2.0,1.0
22,2459903.0146412,99.0,99.0,r,20.0920264398435,2.0,1.0
23,2459903.8303819,20.4177132769099,0.155279630797282,r,20.7818128415628,2.0,1.0
24,2459903.8438657,20.8026238485339,0.186473261949305,r,20.9679682177777,2.0,1.0
25,2459903.8666319,20.6348473968399,0.158350546428513,g,20.9776842700483,2.0,1.0
26,2459903.8845602,20.6736946799937,0.155968607318888,g,21.0329874834578,2.0,1.0
28,2459904.9060301,20.7524099191351,0.1777612753142,g,20.9697028148003,2.0,1.0
29,2459904.9265162,20.5677855132759,0.14322294291115,g,21.0196398192114,2.0,1.0
30,2459904.9550579,20.5440870973322,0.114150854862973,r,21.2422749658706,2.0,1.0
31,2459905.8090741,20.5854493320278,0.197049711322519,g,20.6908956137156,2.0,1.0
32,2459905.8684375,20.4957080117262,0.253813851689385,r,20.3263055016129,2.0,1.0
33,2459905.9100694,20.4644053294339,0.224185509572904,g,20.4297722731221,2.0,1.0
34,2459905.9351505,20.4568820993574,0.196688373125423,r,20.5643211680698,2.0,1.0
35,2459902.0142593,20.7443008422852,0.244778007268906,g,99.0,2.0,0.0
36,2459902.9085301,20.5084991455078,0.316056996583939,g,99.0,2.0,0.0
37,2459902.9482292,20.1502990722656,0.290268003940582,g,99.0,2.0,0.0
38,2459903.8666319,20.5335998535156,0.285209000110626,g,99.0,2.0,0.0
39,2459903.867581,20.5624008178711,0.261321008205414,g,99.0,1.0,0.0
41,2459902.0142593,20.7443008422852,0.244778007268906,g,99.0,2.0,0.0
42,2459902.9085301,20.5084991455078,0.316056996583939,g,99.0,2.0,0.0
43,2459902.9482292,20.1502990722656,0.290268003940582,g,99.0,2.0,0.0
44,2459903.8666319,20.5335998535156,0.285209000110626,g,99.0,2.0,0.0
46,2459902.0142593,20.7443008422852,0.244778007268906,g,99.0,2.0,0.0
47,2459902.9085301,20.5084991455078,0.316056996583939,g,99.0,2.0,0.0
48,2459902.9482292,20.1502990722656,0.290268003940582,g,99.0,2.0,0.0
49,2459903.8666319,20.5335998535156,0.285209000110626,g,99.0,2.0,0.0
50,2459902.9085301,20.5084991455078,0.316056996583939,g,99.0,2.0,0.0
51,2459902.9482292,20.1502990722656,0.290268003940582,g,99.0,2.0,0.0
52,2459903.8666319,20.5335998535156,0.285209000110626,g,99.0,2.0,0.0
53,2459902.9482292,20.1502990722656,0.290268003940582,g,99.0,2.0,0.0
54,2459903.8666319,20.5335998535156,0.285209000110626,g,99.0,2.0,0.0
55,2459903.8666319,20.5335998535156,0.285209000110626,g,99.0,2.0,0.0
