,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459896.9781134,99.0,99.0,r,20.4358990482669,2.0,1.0
1,2459897.8489699,99.0,99.0,r,19.7780689003343,2.0,1.0
2,2459897.9315046,99.0,99.0,r,20.4894439338883,2.0,1.0
3,2459897.9554051,99.0,99.0,g,20.0869020541468,2.0,1.0
4,2459897.9991319,99.0,99.0,g,20.4604197000401,2.0,1.0
5,2459898.8649306,99.0,99.0,i,19.5149472351813,2.0,1.0
6,2459898.8784606,99.0,99.0,r,20.6668907258296,2.0,1.0
7,2459898.9315046,99.0,99.0,g,20.7294752744899,2.0,1.0
8,2459898.9475926,99.0,99.0,g,20.7226016264633,2.0,1.0
9,2459899.8431481,99.0,99.0,r,19.6509077102918,2.0,1.0
10,2459899.8820139,99.0,99.0,g,19.5577901737627,2.0,1.0
11,2459899.9928472,99.0,99.0,g,20.0059715128906,2.0,1.0
12,2459900.0235069,99.0,99.0,r,19.7797244334595,2.0,1.0
13,2459900.9025347,99.0,99.0,r,19.7668090817446,2.0,1.0
14,2459900.9781134,99.0,99.0,g,20.5437499153955,2.0,1.0
16,2459900.9882292,99.0,99.0,g,20.8191923354529,2.0,1.0
17,2459901.0118171,99.0,99.0,r,20.7391409492049,2.0,1.0
18,2459901.8280208,99.0,99.0,i,20.1686008113937,2.0,1.0
19,2459901.8688773,99.0,99.0,r,18.4422148067435,2.0,1.0
20,2459901.8834722,99.0,99.0,g,17.8720018697833,2.0,1.0
21,2459901.99125,21.2499811107707,0.233691152725521,r,21.1702612228099,2.0,1.0
22,2459902.0152546,99.0,99.0,g,20.9978200008826,2.0,1.0
23,2459902.8817014,99.0,99.0,r,20.3213447534088,2.0,1.0
24,2459902.9090278,99.0,99.0,g,20.6690593149182,2.0,1.0
25,2459902.9496991,99.0,99.0,g,20.4734679569718,2.0,1.0
26,2459902.9518403,99.0,99.0,g,20.4173516321703,2.0,1.0
28,2459903.0151389,99.0,99.0,r,20.1759713882559,2.0,1.0
29,2459903.8308681,99.0,99.0,r,20.5694927067931,2.0,1.0
30,2459903.8685301,99.0,99.0,g,20.8093890604532,2.0,1.0
31,2459903.8821875,99.0,99.0,g,20.919186235236,2.0,1.0
33,2459903.9678472,99.0,99.0,r,21.1332095121325,2.0,1.0
34,2459904.8832755,99.0,99.0,g,20.771639563452,2.0,1.0
35,2459904.9274537,21.014867443297,0.236818403223435,g,20.9207146111228,2.0,1.0
36,2459904.9555556,99.0,99.0,r,21.0799088027295,2.0,1.0
37,2459905.0126736,99.0,99.0,r,21.0957475543702,2.0,1.0
38,2459905.8511921,99.0,99.0,r,20.2356506384258,2.0,1.0
39,2459905.8931829,99.0,99.0,g,18.3079078237257,2.0,1.0
40,2459905.9125116,99.0,99.0,g,20.625755485332,2.0,1.0
41,2459905.9479977,99.0,99.0,r,18.4369876885381,2.0,1.0
42,2459905.9731481,99.0,99.0,i,20.3050441204888,2.0,1.0
43,2459906.8459375,20.9845892515906,0.212546832765155,g,21.0078384462393,2.0,1.0
44,2459906.8611458,99.0,99.0,r,20.8749205101225,2.0,1.0
45,2459906.9327546,99.0,99.0,g,21.2353609057581,2.0,1.0
46,2459906.9495486,99.0,99.0,r,20.9745165394514,2.0,1.0
47,2459908.7982523,99.0,99.0,g,20.3646746838048,2.0,1.0
48,2459908.8714352,99.0,99.0,r,20.7868647981616,2.0,1.0
49,2459908.9289931,99.0,99.0,r,20.9069000664679,2.0,1.0
50,2459908.9553588,99.0,99.0,g,20.6399890713648,2.0,1.0
51,2459901.9689583,21.0121002197266,0.326391011476517,g,99.0,1.0,0.0
53,2459901.9689583,21.0121002197266,0.326391011476517,g,99.0,1.0,0.0
