,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459897.6456366,13.08876348635,0.144596944136646,g,13.5302514883877,2.0,1.0
1,2459897.6605903,99.0,99.0,g,21.0627410100264,2.0,1.0
2,2459897.6788079,99.0,99.0,r,20.770123582432,2.0,1.0
3,2459897.7793056,99.0,99.0,r,20.3637056278171,2.0,1.0
4,2459898.6228588,99.0,99.0,g,21.2618421243683,2.0,1.0
5,2459898.6344213,99.0,99.0,i,20.4802213900856,2.0,1.0
6,2459898.6533449,99.0,99.0,g,21.165675551113,2.0,1.0
7,2459898.7437731,99.0,99.0,r,20.6139682556453,2.0,1.0
8,2459899.6232407,99.0,99.0,r,20.6749104639821,2.0,1.0
9,2459899.6296528,99.0,99.0,g,20.7542937202489,2.0,1.0
10,2459899.6578819,99.0,99.0,g,20.7759391922297,2.0,1.0
11,2459899.684919,17.5481830631488,0.0112603346678403,r,20.7611906063612,2.0,1.0
14,2459900.6217593,99.0,99.0,r,20.7027954179375,2.0,1.0
15,2459900.7393866,99.0,99.0,r,19.6589607133236,2.0,1.0
16,2459901.6126157,99.0,99.0,g,20.2424250086735,2.0,1.0
17,2459901.6435648,99.0,99.0,r,20.4507670750623,2.0,1.0
18,2459901.6795486,99.0,99.0,r,19.9051450686004,2.0,1.0
19,2459901.7204167,99.0,99.0,g,20.4494039212469,2.0,1.0
20,2459902.633287,99.0,99.0,r,20.1798412477808,2.0,1.0
21,2459902.656956,99.0,99.0,r,20.5938442612682,2.0,1.0
22,2459902.6853472,99.0,99.0,g,20.9728370975431,2.0,1.0
23,2459902.7207639,99.0,99.0,i,20.2439801823636,2.0,1.0
24,2459902.7853704,99.0,99.0,g,19.5083791502521,2.0,1.0
25,2459903.604294,99.0,99.0,g,20.7954180666211,2.0,1.0
26,2459903.6340741,99.0,99.0,r,20.7214400889958,2.0,1.0
27,2459903.6977315,99.0,99.0,r,20.6836796080828,2.0,1.0
28,2459904.6178704,20.0808429873796,0.0789934421598804,r,21.178751179637,2.0,1.0
29,2459904.6344329,19.7951274326933,0.0757448755922283,g,20.9386300802448,2.0,1.0
30,2459904.6832292,99.0,99.0,g,20.8914862975951,2.0,1.0
31,2459904.7328819,99.0,99.0,r,20.5321334256477,2.0,1.0
32,2459905.6125116,99.0,99.0,g,19.4576277785071,2.0,1.0
33,2459905.6438542,99.0,99.0,r,20.8048248985206,2.0,1.0
34,2459905.6560069,99.0,99.0,i,20.0227032283333,2.0,1.0
35,2459905.6945255,99.0,99.0,g,19.677499248769,2.0,1.0
36,2459908.6116435,99.0,99.0,g,20.1551647792055,2.0,1.0
37,2459908.745544,99.0,99.0,g,20.1926872445404,2.0,1.0
38,2459904.6344329,19.6668643951416,0.209594666957855,g,99.0,2.0,0.0
