,jd,mag,mag_unc,filter,limmag,programid,forced
1,2459901.8171644,99.0,99.0,i,20.3223409947676,2.0,1.0
2,2459904.8588079,99.0,99.0,i,20.0811826722539,2.0,1.0
3,2459907.6921759,99.0,99.0,i,19.8962429573131,2.0,1.0
5,2459904.6726273,20.1963005065918,0.319790989160538,g,99.0,1.0,0.0
6,2459904.7186111,20.2185001373291,0.228413999080658,r,99.0,1.0,0.0
7,2459906.7239583,20.3733539581299,0.207837700843811,g,99.0,1.0,0.0
8,2459908.7239931,19.9416999816895,0.250119000673294,r,99.0,1.0,0.0
10,2459904.6726273,20.1963005065918,0.319790989160538,g,99.0,1.0,0.0
11,2459906.7239583,20.3733539581299,0.207837700843811,g,99.0,1.0,0.0
12,2459908.7239931,19.9416999816895,0.250119000673294,r,99.0,1.0,0.0
14,2459904.6726273,20.1963005065918,0.319790989160538,g,99.0,1.0,0.0
15,2459908.7239931,19.9416999816895,0.250119000673294,r,99.0,1.0,0.0
17,2459904.6726273,20.1963005065918,0.319790989160538,g,99.0,1.0,0.0
19,2459904.6726273,20.1963005065918,0.319790989160538,g,99.0,1.0,0.0
