,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459897.7778935,99.0,99.0,r,20.3771739248459,2.0,1.0
1,2459898.6252315,99.0,99.0,g,21.3326437992754,2.0,1.0
2,2459898.6320718,99.0,99.0,i,20.8722318379733,2.0,1.0
3,2459898.6509722,99.0,99.0,g,21.2032470671908,2.0,1.0
4,2459898.7376505,99.0,99.0,r,20.7583873922649,2.0,1.0
5,2459899.6246759,99.0,99.0,r,20.7492084060186,2.0,1.0
6,2459899.6282407,99.0,99.0,g,20.761355402494,2.0,1.0
7,2459899.6597685,99.0,99.0,g,20.8282462616024,2.0,1.0
8,2459899.686331,99.0,99.0,r,19.5992552616557,2.0,1.0
9,2459900.7374421,99.0,99.0,r,19.7951738765728,2.0,1.0
10,2459901.6093056,99.0,99.0,g,19.8602017157574,2.0,1.0
11,2459901.6449769,99.0,99.0,r,20.2307289163293,2.0,1.0
12,2459901.6805324,99.0,99.0,r,19.4021743176173,2.0,1.0
13,2459901.7199306,99.0,99.0,g,20.3135085740106,2.0,1.0
14,2459902.6294329,99.0,99.0,r,20.1162511002803,2.0,1.0
15,2459902.6872454,99.0,99.0,g,20.6742728082221,2.0,1.0
16,2459902.7322569,99.0,99.0,i,20.172541510938,2.0,1.0
17,2459902.7863194,99.0,99.0,g,19.3822183552242,2.0,1.0
18,2459903.633125,99.0,99.0,r,20.670073999163,2.0,1.0
19,2459903.6753819,99.0,99.0,g,20.9704648043559,2.0,1.0
20,2459903.6972454,99.0,99.0,r,20.5879070501817,2.0,1.0
21,2459903.7263426,99.0,99.0,g,20.5564082220845,2.0,1.0
22,2459904.6292361,99.0,99.0,g,21.3240513808612,2.0,1.0
23,2459904.6846412,20.0833555910325,0.124855650397776,g,20.6842208768207,2.0,1.0
24,2459904.7043287,19.6539621732578,0.0893461052623269,r,20.6181588981674,2.0,1.0
25,2459905.6115741,99.0,99.0,g,19.5589516802056,2.0,1.0
26,2459905.6452662,99.0,99.0,r,19.8942011688664,2.0,1.0
27,2459905.6611921,99.0,99.0,i,19.9304157978664,2.0,1.0
28,2459905.684213,99.0,99.0,r,20.8470522293451,2.0,1.0
29,2459906.6020255,99.0,99.0,g,21.1937430123243,2.0,1.0
30,2459906.6300347,99.0,99.0,r,21.1214225722222,2.0,1.0
31,2459906.6946991,99.0,99.0,g,21.1825422912092,2.0,1.0
32,2459906.7368634,20.8502016945799,0.251584126614888,r,20.6903793927421,2.0,1.0
33,2459907.6253356,99.0,99.0,g,20.7709368880936,2.0,1.0
34,2459907.6462847,99.0,99.0,g,20.7167414915936,2.0,1.0
35,2459907.6640625,99.0,99.0,r,20.3510741708106,2.0,1.0
36,2459907.6724653,99.0,99.0,r,20.4565416748975,2.0,1.0
37,2459908.6645602,99.0,99.0,r,20.359647277457,2.0,1.0
38,2459908.7474306,99.0,99.0,g,19.7650369474327,2.0,1.0
39,2459909.6245023,99.0,99.0,r,20.7599497786688,2.0,1.0
40,2459909.662037,99.0,99.0,g,20.9343356514934,2.0,1.0
41,2459910.6037963,99.0,99.0,g,21.1404184079014,2.0,1.0
42,2459910.6104977,99.0,99.0,r,20.8771628893885,2.0,1.0
43,2459910.6601852,99.0,99.0,r,20.9096945742496,2.0,1.0
44,2459904.7043287,19.5363159179688,0.207536220550537,r,99.0,2.0,0.0
