,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459897.9972454,99.0,99.0,g,20.3343478359165,2.0,1.0
1,2459898.8049421,99.0,99.0,g,20.1023214819857,2.0,1.0
2,2459898.8255208,99.0,99.0,r,20.5877257397152,2.0,1.0
3,2459898.8635185,99.0,99.0,i,19.5803550791356,2.0,1.0
4,2459898.9447106,99.0,99.0,g,20.7666216214305,2.0,1.0
5,2459898.9798843,99.0,99.0,r,21.0144997888469,2.0,1.0
6,2459899.969537,99.0,99.0,r,19.6696947274471,2.0,1.0
7,2459899.9909375,99.0,99.0,g,20.083927462598,2.0,1.0
8,2459900.8251042,99.0,99.0,g,19.867262723307,2.0,1.0
9,2459900.9042361,99.0,99.0,r,19.6504125723894,2.0,1.0
10,2459900.9672222,20.7045754834634,0.257237830267666,g,20.520624178134,2.0,1.0
12,2459901.0094444,99.0,99.0,r,20.5388041995532,2.0,1.0
13,2459901.9474421,21.3442660285045,0.247428522296758,r,21.2025274140225,2.0,1.0
14,2459902.0128356,21.4650832350458,0.260799557768314,g,21.2662018975433,2.0,1.0
15,2459902.0278356,21.0158015881629,0.199118179346326,r,21.1099100957271,2.0,1.0
16,2459902.8435648,99.0,99.0,i,19.8436571741806,2.0,1.0
17,2459902.8826389,99.0,99.0,r,20.0628664212475,2.0,1.0
18,2459902.9109606,99.0,99.0,g,20.7402277667513,2.0,1.0
19,2459902.9468171,99.0,99.0,g,20.5978534425604,2.0,1.0
20,2459902.9528125,99.0,99.0,g,20.6813844477083,2.0,1.0
22,2459903.0132176,99.0,99.0,r,20.5720423641066,2.0,1.0
23,2459903.8429282,99.0,99.0,r,20.9233700050153,2.0,1.0
24,2459903.8728125,99.0,99.0,g,20.8790408800732,2.0,1.0
25,2459903.8878704,99.0,99.0,g,20.9457877632179,2.0,1.0
26,2459903.9275347,21.3624203896091,0.260216922467839,r,21.1659673380729,2.0,1.0
27,2459904.9038194,99.0,99.0,g,21.0720071974302,2.0,1.0
28,2459904.9250926,99.0,99.0,g,20.9218636550732,2.0,1.0
29,2459904.9560417,21.1663050678166,0.186123635195992,r,21.3336870414449,2.0,1.0
30,2459904.9883796,99.0,99.0,r,21.2386124095647,2.0,1.0
32,2459905.808125,99.0,99.0,g,20.7569152628134,2.0,1.0
33,2459905.8660764,99.0,99.0,r,20.6961713779318,2.0,1.0
34,2459905.9076968,99.0,99.0,g,18.9996447649818,2.0,1.0
35,2459905.947037,99.0,99.0,r,19.9365767176166,2.0,1.0
36,2459905.9709375,99.0,99.0,i,20.1849664686381,2.0,1.0
37,2459906.7847685,99.0,99.0,g,20.8188514571148,2.0,1.0
38,2459906.8884375,99.0,99.0,r,21.1663510445719,2.0,1.0
39,2459906.9341667,99.0,99.0,g,21.2384289076068,2.0,1.0
40,2459906.9476389,99.0,99.0,r,21.0448372021238,2.0,1.0
41,2459908.7996991,99.0,99.0,g,20.5491187607732,2.0,1.0
42,2459908.9358681,99.0,99.0,r,15.9763463249931,2.0,1.0
43,2459908.9447685,99.0,99.0,g,20.8778285386026,2.0,1.0
44,2459909.838588,99.0,99.0,g,21.1563123232088,2.0,1.0
45,2459909.8853588,21.2278209730611,0.21035102692474,r,21.2623451707392,2.0,1.0
46,2459909.9322338,21.4076215723736,0.223508075482492,r,21.376274313778,2.0,1.0
47,2459909.9972338,99.0,99.0,g,21.3130123545578,2.0,1.0
48,2459910.775463,99.0,99.0,r,20.4825402871833,2.0,1.0
49,2459910.8169213,99.0,99.0,r,20.5208604240667,2.0,1.0
50,2459910.9278356,99.0,99.0,g,21.2313739734513,2.0,1.0
51,2459911.0120486,99.0,99.0,g,20.8868721754498,2.0,1.0
