,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459903.6201852,99.0,99.0,i,19.6117627676279,2.0,1.0
1,2459906.6253935,17.8746689852453,0.0263927326381413,i,20.1628438785302,2.0,1.0
2,2459904.6325463,17.2133312225342,0.0397489815950394,g,99.0,1.0,0.0
3,2459906.6039236,17.2975273132324,0.0345607064664364,g,99.0,1.0,0.0
4,2459906.6253935,17.8998966217041,0.0583272129297256,i,99.0,2.0,0.0
5,2459906.6328819,17.6373805999756,0.0371842160820961,r,99.0,1.0,0.0
6,2459909.6449306,18.6899261474609,0.0875089690089226,r,99.0,1.0,0.0
7,2459909.6506366,18.5866470336914,0.092239998281002,g,99.0,1.0,0.0
8,2459904.6325463,17.2133312225342,0.0397489815950394,g,99.0,1.0,0.0
9,2459906.6253935,17.8998966217041,0.0583272129297256,i,99.0,2.0,0.0
10,2459906.6328819,17.6373805999756,0.0371842160820961,r,99.0,1.0,0.0
11,2459909.6449306,18.6899261474609,0.0875089690089226,r,99.0,1.0,0.0
12,2459909.6506366,18.5866470336914,0.092239998281002,g,99.0,1.0,0.0
13,2459904.6325463,17.2133312225342,0.0397489815950394,g,99.0,1.0,0.0
14,2459906.6328819,17.6373805999756,0.0371842160820961,r,99.0,1.0,0.0
15,2459909.6449306,18.6899261474609,0.0875089690089226,r,99.0,1.0,0.0
16,2459909.6506366,18.5866470336914,0.092239998281002,g,99.0,1.0,0.0
17,2459904.6325463,17.2133312225342,0.0397489815950394,g,99.0,1.0,0.0
18,2459909.6449306,18.6899261474609,0.0875089690089226,r,99.0,1.0,0.0
19,2459909.6506366,18.5866470336914,0.092239998281002,g,99.0,1.0,0.0
20,2459904.6325463,17.2133312225342,0.0397489815950394,g,99.0,1.0,0.0
21,2459909.6506366,18.5866470336914,0.092239998281002,g,99.0,1.0,0.0
22,2459904.6325463,17.2133312225342,0.0397489815950394,g,99.0,1.0,0.0
