,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459928.685544,16.2125282287598,0.0298148691654205,r,99.0,1,0.0
1,2459928.8328009,16.4525241851807,0.0519297011196613,g,99.0,1,0.0
2,2459932.635544,17.6029853820801,0.0463332608342171,g,99.0,1,0.0
3,2459932.7868287,17.253734588623,0.0472096651792526,r,99.0,1,0.0
4,2459928.685544,16.2125282287598,0.0298148691654205,r,99.0,1,0.0
5,2459932.635544,17.6029853820801,0.0463332608342171,g,99.0,1,0.0
6,2459932.7868287,17.253734588623,0.0472096651792526,r,99.0,1,0.0
7,2459928.685544,16.2125282287598,0.0298148691654205,r,99.0,1,0.0
8,2459932.7868287,17.253734588623,0.0472096651792526,r,99.0,1,0.0
9,2459928.685544,16.2125282287598,0.0298148691654205,r,99.0,1,0.0
