,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459928.7448843,99.0,99.0,r,20.4365475553758,2.0,1.0
1,2459928.783287,20.8019789383175,0.192055279231727,r,20.9352991034372,2.0,1.0
2,2459929.8746875,20.3160339932563,0.176612508645077,g,20.5403661338595,2.0,1.0
3,2459930.8281481,20.3659501185644,0.119783421817428,g,21.0118441194387,2.0,1.0
4,2459930.8881944,20.30559277205,0.100480111241302,r,21.1422782931418,2.0,1.0
5,2459930.9960417,20.4530475574651,0.162844097868843,g,20.7655032900787,2.0,1.0
6,2459932.7020255,20.2677217732737,0.134294533682184,g,20.7894617235448,2.0,1.0
7,2459932.7785417,20.379223865883,0.101542207915859,r,21.2044931489897,2.0,1.0
8,2459932.800081,20.2733963706467,0.0943727742387395,r,21.1781653546941,2.0,1.0
9,2459932.8209144,20.2240960225387,0.0853085708292856,g,21.2385001458779,2.0,1.0
10,2459929.8746875,20.37380027771,0.391368001699448,g,99.0,2.0,0.0
11,2459930.8281481,20.3353004455566,0.221669003367424,g,99.0,2.0,0.0
12,2459930.9960417,20.4440994262695,0.272662997245789,g,99.0,2.0,0.0
13,2459932.7020255,20.3076992034912,0.284750014543533,g,99.0,2.0,0.0
14,2459932.800081,20.1702499389648,0.208229765295982,r,99.0,2.0,0.0
15,2459932.8209144,20.2058563232422,0.154444649815559,g,99.0,2.0,0.0
16,2459932.9237616,20.305736541748,0.211885914206505,r,99.0,1.0,0.0
17,2459932.9488657,20.3048343658447,0.191660702228546,g,99.0,1.0,0.0
18,2459932.9493403,20.3092498779297,0.172032549977303,g,99.0,1.0,0.0
19,2459929.8746875,20.37380027771,0.391368001699448,g,99.0,2.0,0.0
20,2459930.8281481,20.3353004455566,0.221669003367424,g,99.0,2.0,0.0
21,2459932.7020255,20.3076992034912,0.284750014543533,g,99.0,2.0,0.0
22,2459932.800081,20.1702499389648,0.208229765295982,r,99.0,2.0,0.0
23,2459932.8209144,20.2058563232422,0.154444649815559,g,99.0,2.0,0.0
24,2459932.9237616,20.305736541748,0.211885914206505,r,99.0,1.0,0.0
25,2459932.9488657,20.3048343658447,0.191660702228546,g,99.0,1.0,0.0
26,2459932.9493403,20.3092498779297,0.172032549977303,g,99.0,1.0,0.0
27,2459929.8746875,20.37380027771,0.391368001699448,g,99.0,2.0,0.0
28,2459930.8281481,20.3353004455566,0.221669003367424,g,99.0,2.0,0.0
29,2459932.7020255,20.3076992034912,0.284750014543533,g,99.0,2.0,0.0
30,2459932.8209144,20.2058563232422,0.154444649815559,g,99.0,2.0,0.0
31,2459932.9237616,20.305736541748,0.211885914206505,r,99.0,1.0,0.0
32,2459932.9488657,20.3048343658447,0.191660702228546,g,99.0,1.0,0.0
33,2459932.9493403,20.3092498779297,0.172032549977303,g,99.0,1.0,0.0
34,2459929.8746875,20.37380027771,0.391368001699448,g,99.0,2.0,0.0
35,2459930.8281481,20.3353004455566,0.221669003367424,g,99.0,2.0,0.0
36,2459932.7020255,20.3076992034912,0.284750014543533,g,99.0,2.0,0.0
37,2459932.9237616,20.305736541748,0.211885914206505,r,99.0,1.0,0.0
38,2459932.9488657,20.3048343658447,0.191660702228546,g,99.0,1.0,0.0
39,2459932.9493403,20.3092498779297,0.172032549977303,g,99.0,1.0,0.0
40,2459929.8746875,20.37380027771,0.391368001699448,g,99.0,2.0,0.0
41,2459930.8281481,20.3353004455566,0.221669003367424,g,99.0,2.0,0.0
42,2459932.7020255,20.3076992034912,0.284750014543533,g,99.0,2.0,0.0
43,2459932.9488657,20.3048343658447,0.191660702228546,g,99.0,1.0,0.0
44,2459932.9493403,20.3092498779297,0.172032549977303,g,99.0,1.0,0.0
45,2459929.8746875,20.37380027771,0.391368001699448,g,99.0,2.0,0.0
46,2459930.8281481,20.3353004455566,0.221669003367424,g,99.0,2.0,0.0
47,2459932.7020255,20.3076992034912,0.284750014543533,g,99.0,2.0,0.0
48,2459932.9493403,20.3092498779297,0.172032549977303,g,99.0,1.0,0.0
49,2459930.8281481,20.3353004455566,0.221669003367424,g,99.0,2.0,0.0
50,2459932.7020255,20.3076992034912,0.284750014543533,g,99.0,2.0,0.0
51,2459932.9493403,20.3092498779297,0.172032549977303,g,99.0,1.0,0.0
52,2459932.7020255,20.3076992034912,0.284750014543533,g,99.0,2.0,0.0
53,2459932.9493403,20.3092498779297,0.172032549977303,g,99.0,1.0,0.0
54,2459932.7020255,20.3076992034912,0.284750014543533,g,99.0,2.0,0.0
