,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459928.7795023,20.3421170180799,0.204152473871521,r,20.4091161897488,2.0,1.0
1,2459928.8258102,99.0,99.0,g,20.4097806180994,2.0,1.0
2,2459928.8530671,99.0,99.0,r,20.1359110391935,2.0,1.0
3,2459930.8122454,20.4442514745471,0.155755226788275,r,20.8050306898816,2.0,1.0
4,2459930.8267361,20.5087690289679,0.138096246314758,g,21.0002001333242,2.0,1.0
5,2459930.9951042,20.4680132686733,0.148277379157491,g,20.8822118048803,2.0,1.0
6,2459932.8010185,20.6167245984112,0.192342318643571,r,20.7484232698417,2.0,1.0
7,2459932.8228009,20.2779882825791,0.109912567802839,g,21.0172556864862,2.0,1.0
8,2459932.8468981,20.369087077032,0.117886580129293,r,21.0323119434517,2.0,1.0
9,2459932.9546065,20.5015443699695,0.0989197710031741,g,21.3552224032873,2.0,1.0
10,2459932.8228009,20.251880645752,0.203269019722939,g,99.0,2.0,0.0
11,2459932.9546065,20.4617748260498,0.203849270939827,g,99.0,2.0,0.0
12,2459932.9546065,20.4617748260498,0.203849270939827,g,99.0,2.0,0.0
