,jd,mag,mag_unc,filter,limmag,programid,forced
0,2459928.7814005,20.9966951114244,0.243685535818186,r,20.8715065205245,2.0,1.0
1,2459928.8637269,99.0,99.0,g,18.6446361112515,2.0,1.0
2,2459928.9907639,99.0,99.0,r,20.2828819331189,2.0,1.0
3,2459929.0464583,99.0,99.0,g,20.425553533766,2.0,1.0
4,2459930.7922569,20.8023330798143,0.201478042350777,r,20.8836495628804,2.0,1.0
5,2459930.8248495,99.0,99.0,g,20.9761766941091,2.0,1.0
6,2459930.878588,21.0085466795816,0.242074917549357,r,20.8905579871611,2.0,1.0
7,2459930.9941204,99.0,99.0,g,20.5740746664298,2.0,1.0
8,2459932.7800231,99.0,99.0,r,20.7193225594188,2.0,1.0
9,2459932.8043403,99.0,99.0,r,21.0998877075459,2.0,1.0
10,2459932.8275116,99.0,99.0,g,21.4256930279686,2.0,1.0
12,2459932.9939931,99.0,99.0,g,20.9031629121778,2.0,1.0
