"telescope_name","instrument_name","observation_id","field_id","ra","dec","target_name","obstime","filt","exposure_time","airmass","seeing","limmag"
"Palomar 1.2m","ZTF","210809399","480","233.30067","4.55","","2022-10-10T02:15:21.003829","ztfr","30","","2.085814952850342","18.63665008544922"
"Palomar 1.2m","ZTF","210809445","531","229.07556","11.75","","2022-10-10T02:16:00.998382","ztfr","30","","1.9210200309753418","18.775951385498047"
"Palomar 1.2m","ZTF","210809493","582","230.77318","18.95","","2022-10-10T02:16:42.003832","ztfr","30","","1.900635004043579","19.052501678466797"
"Palomar 1.2m","ZTF","210809541","629","218.436","26.15","","2022-10-10T02:17:24.002880","ztfr","30","","2.037099838256836","18.74639892578125"
"Palomar 1.2m","ZTF","210809589","581","223.50463","18.95","","2022-10-10T02:18:04.999681","ztfr","30","","2.1204099655151367","18.746999740600586"
"Palomar 1.2m","ZTF","210809637","480","233.30067","4.55","","2022-10-10T02:18:46.998729","ztfr","30","","2.0204148292541504","18.86724853515625"
"Palomar 1.2m","ZTF","210809684","531","229.07556","11.75","","2022-10-10T02:19:27.001931","ztfr","30","","2.0393149852752686","18.894699096679688"
"Palomar 1.2m","ZTF","210809731","582","230.77318","18.95","","2022-10-10T02:20:07.998732","ztfr","30","","1.8696099519729614","19.222700119018555"
"Palomar 1.2m","ZTF","210809780","629","218.436","26.15","","2022-10-10T02:20:49.997780","ztfr","30","","2.0798449516296387","18.874799728393555"
"Palomar 1.2m","ZTF","210809827","581","223.50463","18.95","","2022-10-10T02:21:31.003190","ztfr","30","","1.9937000274658203","18.982999801635742"
"Palomar 1.2m","ZTF","210809876","480","233.30067","4.55","","2022-10-10T02:22:13.002238","ztfr","30","","2.175294876098633","18.917049407958984"
"Palomar 1.2m","ZTF","210809922","531","229.07556","11.75","","2022-10-10T02:22:52.996791","ztfr","30","","1.988184928894043","19.072399139404297"
"Palomar 1.2m","ZTF","210809969","582","230.77318","18.95","","2022-10-10T02:23:34.002241","ztfr","30","","1.8822550773620605","19.324748992919922"
"Palomar 1.2m","ZTF","210810018","629","218.436","26.15","","2022-10-10T02:24:16.001289","ztfr","30","","2.0355300903320312","19.0177001953125"
"Palomar 1.2m","ZTF","210810065","581","223.50463","18.95","","2022-10-10T02:24:56.998090","ztfr","30","","2.006114959716797","19.05670166015625"
"Palomar 1.2m","ZTF","210810114","480","233.30067","4.55","","2022-10-10T02:25:38.997138","ztfr","30","","2.12754487991333","19.0487003326416"
"Palomar 1.2m","ZTF","210810162","531","229.07556","11.75","","2022-10-10T02:26:20.002548","ztfr","30","","2.2390999794006348","18.998748779296875"
"Palomar 1.2m","ZTF","210810209","582","230.77318","18.95","","2022-10-10T02:27:00.999348","ztfr","30","","1.924415111541748","19.35879898071289"
"Palomar 1.2m","ZTF","210810258","629","218.436","26.15","","2022-10-10T02:27:42.998396","ztfr","30","","2.189915180206299","18.980649948120117"
"Palomar 1.2m","ZTF","210810305","581","223.50463","18.95","","2022-10-10T02:28:24.003847","ztfr","30","","2.0021400451660156","19.107799530029297"
"Palomar 1.2m","ZTF","210810354","480","233.30067","4.55","","2022-10-10T02:29:06.002895","ztfr","30","","2.233870029449463","19.038450241088867"
"Palomar 1.2m","ZTF","210810400","531","229.07556","11.75","","2022-10-10T02:29:45.997447","ztfr","30","","2.1141550540924072","19.123050689697266"
"Palomar 1.2m","ZTF","210810447","582","230.77318","18.95","","2022-10-10T02:30:27.002898","ztfr","30","","2.0550551414489746","19.318649291992188"
"Palomar 1.2m","ZTF","210810496","629","218.436","26.15","","2022-10-10T02:31:09.001906","ztfr","30","","2.4249348640441895","18.921348571777344"
"Palomar 1.2m","ZTF","210810542","581","223.50463","18.95","","2022-10-10T02:31:48.996499","ztfr","30","","2.1337051391601562","19.077850341796875"
"Palomar 1.2m","ZTF","210810596","430","241.88","-2.65","","2022-10-10T02:32:34.995847","ztfr","30","","2.1254701614379883","19.21445083618164"
"Palomar 1.2m","ZTF","210810658","719","218.10044","40.55","","2022-10-10T02:33:28.995835","ztfr","30","","1.9608900547027588","19.351900100708008"
"Palomar 1.2m","ZTF","210810706","677","227.58979","33.35","","2022-10-10T02:34:10.001286","ztfr","30","","2.081904888153076","19.428600311279297"
"Palomar 1.2m","ZTF","210810752","631","233.39943","26.15","","2022-10-10T02:34:49.995839","ztfr","30","","1.9112299680709839","19.54265022277832"
"Palomar 1.2m","ZTF","210810799","583","238.04173","18.95","","2022-10-10T02:35:31.001289","ztfr","30","","2.0374350547790527","19.491600036621094"
"Palomar 1.2m","ZTF","210810847","533","243.02578","11.75","","2022-10-10T02:36:11.998090","ztfr","30","","1.8520100116729736","19.608449935913086"
"Palomar 1.2m","ZTF","210810895","430","241.88","-2.65","","2022-10-10T02:36:53.997138","ztfr","30","","2.0509350299835205","19.269550323486328"
"Palomar 1.2m","ZTF","210810957","719","218.10044","40.55","","2022-10-10T02:37:47.003529","ztfr","30","","1.984969973564148","19.30430030822754"
"Palomar 1.2m","ZTF","210811004","677","227.58979","33.35","","2022-10-10T02:38:28.000329","ztfr","30","","2.014540195465088","19.421449661254883"
"Palomar 1.2m","ZTF","210811052","631","233.39943","26.15","","2022-10-10T02:39:08.997129","ztfr","30","","2.0272998809814453","19.47534942626953"
"Palomar 1.2m","ZTF","210811098","583","238.04173","18.95","","2022-10-10T02:39:49.000332","ztfr","30","","1.8794550895690918","19.566299438476562"
"Palomar 1.2m","ZTF","210811145","533","243.02578","11.75","","2022-10-10T02:40:29.997133","ztfr","30","","1.9607000350952148","19.51525115966797"
"Palomar 1.2m","ZTF","210811194","430","241.88","-2.65","","2022-10-10T02:41:11.996140","ztfr","30","","2.067999839782715","19.205699920654297"
"Palomar 1.2m","ZTF","210811255","719","218.10044","40.55","","2022-10-10T02:42:05.002572","ztfr","30","","1.9978699684143066","19.273799896240234"
"Palomar 1.2m","ZTF","210811303","677","227.58979","33.35","","2022-10-10T02:42:45.999372","ztfr","30","","1.913444995880127","19.4635009765625"
"Palomar 1.2m","ZTF","210811349","631","233.39943","26.15","","2022-10-10T02:43:26.002575","ztfr","30","","1.9936199188232422","19.468900680541992"
"Palomar 1.2m","ZTF","210811396","583","238.04173","18.95","","2022-10-10T02:44:06.999376","ztfr","30","","1.903244972229004","19.53030014038086"
